technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
HG_001,Underhook Sweep,Basic Half Guard Sweep,Raspagem da Meia Guarda,sweep,underhook,white,both,all_belts,"Fundamental half guard sweep using the underhook to drive opponent over","Get on your side with strong underhook|Control far hip or belt|Drive into opponent while elevating with leg|Follow to top position","Staying flat on back|Weak underhook|Not controlling far hip|Poor timing","HG_002|HG_003|HG_010","Crossface|Whizzer|Flattening opponent"
HG_002,Old School Sweep,Gordo Sweep,Raspagem Clássica,sweep,underhook,blue,both,all_belts,"Classic Roberto Gordo sweep grabbing far leg and coming to knees","Establish underhook and get on side|Grab opponent's far foot|Come to knees while holding foot|Drive forward for sweep","Not securing foot|Weak underhook|Coming up too slowly|Losing grip on foot","HG_001|HG_003|HG_005","Sprawling|Whizzer defense|Crossface and flatten"
HG_003,Dogfight Position,Coyote Guard,,transition,underhook,blue,both,all_belts,"Neutral standing position from half guard where both fighters have underhooks","Get to knees with strong underhook|Establish collar tie or overhook with free arm|Fight for dominant angle|Attack single leg or back take","Losing underhook battle|Head position too low|No secondary control|Passive position","HG_002|HG_004|BC_001","Winning underhook|Snap down|Sprawl"
HG_004,Back Take from Dogfight,Coyote Back Take,,transition,underhook,blue,both,all_belts,"Transitioning from dogfight position to back control by circling behind opponent","From dogfight, fight for superior underhook|Circle toward opponent's back|Establish seatbelt grip|Insert hooks for back control","Losing underhook|Not moving feet|Telegraphing|Poor timing","HG_003|BC_001|BC_002","Turning to face|Hip switch|Dropping back to guard"
HG_005,Electric Chair Sweep,10th Planet Electric Chair,,sweep,lockdown,blue,both,all_belts,"Eddie Bravo lockdown sweep using leg entanglement and hip elevation","Establish lockdown on trapped leg|Secure underhook on hip and far leg|Whip up extension while holding far leg|Come to top or crotch ripper position","Weak lockdown|Not securing hip|Insufficient explosion|Poor grip on far leg","HG_006|HG_007|HG_001","Posting with hands|Breaking lockdown|Crossface pressure"
HG_006,Lockdown Control,Lockdown Guard,Meia Guarda Travada,control,lockdown,blue,both,all_belts,"Eddie Bravo half guard control with legs triangled around opponent's trapped leg","Triangle legs around opponent's trapped leg|Bottom foot hooks opponent's ankle|Top foot hooks own ankle|Extend to stretch opponent's base","Loose leg configuration|Foot not hooking ankle|Extension not maintained|Flat positioning","HG_005|HG_007|HG_001","Pulling leg free|Heavy crossface|Passing over lockdown"
HG_007,Whip Up,Lockdown Elevation,Elevação do Lockdown,sweep,lockdown,blue,both,all_belts,"Extension movement from lockdown creating space and sweeping opportunity","From lockdown, secure underhook|Extend hips and legs simultaneously|Elevate opponent's trapped leg|Follow to sweep or electric chair","Insufficient extension|No underhook|Poor timing|Not following through","HG_005|HG_006|HG_001","Heavy pressure|Stripping underhook|Breaking lockdown"
HG_008,Knee Shield,Z-Guard,Guarda Z,control,knee_shield,blue,both,all_belts,"Half guard variation with shin across opponent's torso creating distance and framing","Position knee across opponent's chest/belly|Foot hooks outside hip|Frame with arms|Maintain angle and distance","Knee too low|Foot not hooked|Flat on back|Poor frames","HG_009|HG_010|HG_011","Smashing through shield|Going around knee|Knee slice"
HG_009,John Wayne Sweep,Knee Shield Sweep,,sweep,knee_shield,blue,both,all_belts,"Sweep from knee shield when opponent posts hand by trapping and rolling under","From knee shield, wait for opponent to post|Trap posting arm with overhook|Roll underneath opponent|Follow to top position","Not trapping arm|Poor timing|Insufficient roll|Losing shield position","HG_008|HG_010|CG_002","Not posting|Pulling arm free|Heavy pressure"
HG_010,Knee Shield to Back,Z-Guard Back Take,,transition,knee_shield,blue,both,all_belts,"Using knee shield to off-balance opponent and take the back","From knee shield, drive knee into opponent|When they resist, duck under arm|Circle to back|Establish seatbelt and hooks","Telegraphing movement|Losing knee position|Slow transition|Poor angle","HG_008|HG_003|BC_001","Flattening|Heavy crossface|Passing quickly"
HG_011,Triangle from Knee Shield,Z-Guard Triangle Entry,,entry,knee_shield,blue,both,all_belts,"Setting up triangle choke from knee shield position when opponent reaches over","From knee shield, bait opponent to reach over|Shoot hip up and lock triangle|Adjust angle and finish|Can also armbar from here","Poor bait|Triangle too loose|Not cutting angle|Flat position","HG_008|CG_008|CG_009","Not reaching over|Posturing quickly|Stacking"
HG_012,Deep Half Guard Entry,Deep Half Dive,,entry,deep_half,blue,both,all_belts,"Diving underneath opponent into deep half guard position","From standard half, duck under opponent's arm|Dive head toward their far knee|Wrap arm around their leg|Position head near knee","Head too high|Poor arm position|Not committing|Losing half guard control","HG_013|HG_014|HG_015","Sprawling|Whizzer|D'arce setup"
HG_013,Homer Simpson Sweep,Deep Half Belt Sweep,,sweep,deep_half,purple,gi,all_belts,"Deep half guard sweep grabbing belt and rolling under opponent","From deep half, grab opponent's belt|Roll underneath them toward trapped leg|Use belt grip to pull them over|Come to top position","Loose belt grip|Not getting deep enough|Poor roll|Opponent posting","HG_012|HG_014|HG_015","Whizzer|Sprawling|Breaking belt grip"
HG_014,Waiter Sweep,Tray Sweep,,sweep,deep_half,purple,both,all_belts,"Deep half sweep controlling far leg like holding a tray","From deep half, control far leg at ankle|Lift leg like holding a tray|Roll toward that leg|Come to top using leg control","Poor leg control|Not rolling correctly|Losing deep half position|Weak tray grip","HG_012|HG_013|HG_015","Kicking leg free|Sprawling|Passing over"
HG_015,Deep Half to X-Guard,Position Transition,,transition,deep_half,purple,both,all_belts,"Transitioning from deep half guard to X-guard for different attack angles","From deep half, reguard to X-guard position|Insert hook behind knee|Other leg pushes hip|Attack with X-guard sweeps","Losing leg control|Poor hook placement|Slow transition|Not securing grips","HG_012|OG_022|OG_023","Passing quickly|Kicking leg free|Pressure passing"
HG_016,Kimura from Half Guard,Figure Four Shoulder Lock,Gyaku Ude-garami,submission,standard,white,both,all_belts,"Attacking kimura when opponent bases with hand in half guard","Control opponent's wrist when they post|Sit up and figure-four grip|Fall to hip maintaining control|Rotate arm behind back","Not sitting up enough|Loose grip|Allowing posture|Opponent pulling arm","CG_010|HG_017|HG_001","Straightening arm|Pulling arm|Jumping to other side"
HG_017,Plan B Sweep,Kimura Sweep,Raspagem Kimura,sweep,standard,blue,both,all_belts,"Using kimura grip to sweep when opponent defends the submission","Secure kimura grip|When opponent defends by posting other hand|Use grip to off-balance and sweep|Follow to top with submission or position","Losing kimura grip|Not timing correctly|Weak control|Not following","HG_016|HG_001|CG_010","Breaking grip|Base wide|Passing immediately"
HG_018,Guillotine from Half Guard,Half Guard Guillotine,Guilhotina da Meia Guarda,submission,standard,blue,both,all_belts,"Front headlock choke when opponent's head drops in half guard","When opponent's head drops, wrap neck|Secure chin-strap or blade grip|Control with half guard|Crunch and finish","Head not in armpit|Loose grip|Not controlling with guard|Poor angle","CG_013|HG_016|SC_008","Posturing up|Pulling head out|Passing to side"
HG_019,Half Guard Recovery,Guard Retention,,defense,standard,white,both,all_belts,"Techniques to maintain half guard when opponent is passing","Keep knee between opponent's legs|Frame on hip and shoulder|Hip escape to create angle|Fight for underhook","Flat on back|No frames|Legs too loose|Not moving hips","HG_008|HG_001|GP_005","Smash passing|Knee slice|Removing knee"
HG_020,Transition to Closed Guard,Half to Full Guard,,transition,standard,white,both,all_belts,"Recovering full closed guard from half guard position","Create space with frames and hip escape|Insert free leg hook|Close guard around opponent's waist|Reestablish closed guard attacks","Not creating space|Forcing without space|Poor timing|Loose guard","CG_001|HG_019|CG_015","Maintaining pressure|Keeping hips low|Knee slice"
HG_021,Sweep from Underhook,Lucas Leite Sweep,,sweep,underhook,purple,both,all_belts,"Lucas Leite coyote half guard sweep using underhook and hip control","Secure deep underhook|Control at hip or belt|Come to knees driving into opponent|Continue to top or back take","Weak underhook|Poor hip control|Not driving|Stopping halfway","HG_002|HG_003|HG_004","Crossface|Whizzer|Flattening"
HG_022,Twist Back,Twister Entry,,transition,lockdown,purple,nogi,all_belts,"Eddie Bravo setup entering twister position from lockdown half guard","From lockdown with underhook|Secure head and arm control|Begin rotation toward twister|Can finish twister or take back","Losing lockdown|Poor head control|Insufficient rotation|Opponent escaping","HG_006|TT_010|BC_001","Defending head control|Breaking lockdown|Posturing"
HG_023,Knee Torque Sweep,Shoulder Pressure Sweep,,sweep,knee_shield,blue,both,all_belts,"Sweep using knee shield pressure against opponent's shoulder to off-balance","From knee shield, pressure into shoulder|When opponent resists, redirect and sweep|Use their resistance against them|Follow to top","Poor angle|Insufficient pressure|Bad timing|Losing shield","HG_008|HG_009|HG_010","Low posture|Going around knee|Passing quickly"
HG_024,Half Guard Shell,Defensive Half Guard,,defense,standard,white,both,all_belts,"Defensive recovery position when losing position in half guard","Knees tight to chest|Frames protecting neck and body|Keep half guard hook|Work to escape or recover better position","Extending legs|Poor frames|Flat position|Giving up hook","HG_019|HG_020|SC_018","Heavy pressure|Knee slice|Mount transition"
HG_025,Calf Slicer from Half Guard,Calf Crush,Esmagador de Panturrilha,submission,deep_half,brown,both,brown_black_only,"Leg compression attack from half guard position targeting opponent's calf","From half guard or lockdown|Insert shin behind opponent's knee|Force heel toward their buttocks|Apply compression on calf","Poor shin placement|Not controlling leg|Insufficient pressure|Illegal at lower belts","HG_006|LE_008|SM_044","Straightening leg|Kicking free|Passing over"
HG_026,Roll Under Sweep,Twist Sweep,,sweep,deep_half,purple,both,all_belts,"Rolling under opponent from deep half to sweep and come to top","From deep half, commit to rolling under|Use momentum to take opponent over|Control trapped leg throughout|Come to top position","Not committing|Poor control|Stopping mid-roll|Losing position","HG_012|HG_013|HG_014","Posting hand|Sprawling|Passing immediately"
HG_027,Hip Bump from Half,Sit Up Sweep,,sweep,standard,blue,both,all_belts,"Similar to closed guard hip bump performed from half guard position","When opponent posts hand in half guard|Sit up explosively|Use momentum to sweep|Follow to top position","Poor timing|Not explosive|Weak underhook|Opponent based well","CG_002|HG_001|HG_017","Heavy crossface|Posting correctly|Pressure passing"
HG_028,Reverse Half Guard,Inverted Half Guard,,control,standard,purple,both,all_belts,"Half guard variation facing opponent's legs rather than head","From half guard, invert to face legs|Maintain half guard control|Attack leg locks or sweep|Transition to other positions","Losing half guard|Poor timing|Exposed to passes|Not controlling leg","HG_012|LE_001|OG_022","Knee slice|Backstep|Passing quickly"
HG_029,Sleeve Drag Sweep,Arm Drag Half Guard,,sweep,underhook,blue,gi,all_belts,"Using sleeve grip to drag opponent's arm and take angle for sweep or back","Control sleeve from half guard|Drag arm across your body|Use momentum to sweep or take back|Follow to dominant position","Loose grip|Not following|Poor timing|Staying flat","CG_019|HG_003|BC_001","Pulling arm back|Strong base|Countering with pressure"
HG_030,Knee Shield Guillotine,Z-Guard Guillotine Entry,,submission,knee_shield,blue,both,all_belts,"Setting up guillotine choke from knee shield when opponent's head drops","From knee shield when head drops|Wrap neck quickly|Maintain knee shield while securing|Finish or transition","Head not deep enough|Losing knee shield|Loose grip|Poor angle","HG_008|CG_013|HG_018","Posturing quickly|Pulling head|Passing over"
