technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
BC_001,Seatbelt Control,Over-Under Back Control,Controle das Costas,control,seatbelt_hooks,white,both,all_belts,"Fundamental back control with one arm over shoulder and one under armpit with hooks","One arm over shoulder (choking side)|One arm under armpit|Gable grip seatbelt|Both hooks inside thighs","Loose seatbelt|Hooks not in|Poor grip|Head not tight","BC_002|BC_003|BC_005","Clearing hooks|Fighting hands|Escaping to side"
BC_002,Body Triangle,Figure-Four Back Control,Triângulo de Pernas,control,body_triangle,blue,both,all_belts,"Back control with legs figure-foured around opponent's torso for maximum control","Figure-four legs around torso|Lock over hip not ribs|Seatbelt grip|Choking arm ready","Locking over ribs|Too loose|Poor seatbelt|Triangle wrong side","BC_001|BC_005|BC_006","Breaking triangle|Escaping to triangle side|Attacking ankle"
BC_003,Hooks In Control,Standard Back Control,Ganchos nas Costas,control,seatbelt_hooks,white,both,all_belts,"Classic back control with both feet hooked inside opponent's thighs","Both feet hooked inside thighs|Seatbelt or double underhooks|Head tight to opponent|Hips connected","Hooks too shallow|No seatbelt|Head away|Hips disconnected","BC_001|BC_002|BC_005","Clearing one hook|Fighting hands|Turning in"
BC_004,One Hook Back,Single Hook Control,Um Gancho,control,one_hook,blue,both,all_belts,"Maintaining back control with only one hook when other is being cleared","One hook secured|Other leg controlling hip or thigh|Strong seatbelt|Work to recover second hook","Losing remaining hook|Weak seatbelt|Not recovering|Giving space","BC_001|BC_003|BC_007","Clearing final hook|Turning|Escaping"
BC_005,Rear Naked Choke,RNC|Mata Leao,Mata Leão / Hadaka-jime,submission,seatbelt_hooks,white,both,all_belts,"King of submissions from back control forearm across throat hand to bicep squeeze","Choking arm forearm across throat|Hand grabs bicep|Other hand behind head|Squeeze while expanding chest","Arm not under chin|Loose grip|Not behind head|Too high","BC_001|BC_006|BC_007","Two hands on arm|Chin defense|Clearing arm"
BC_006,Short Choke,Quick RNC,,submission,seatbelt_hooks,blue,both,all_belts,"Quick variation of RNC targeting front of throat with forearm pressure","Forearm across front of throat|Quick finish variation|Less setup required|Explosive squeeze","Wrong placement|Not tight|Too slow|Loose grip","BC_005|BC_001|BC_008","Chin down|Two on one|Turning"
BC_007,Bow and Arrow Choke,Arco e Flecha,Arco e Flecha,submission,seatbelt_hooks,blue,gi,all_belts,"High percentage gi choke using collar grip and pants stretching like drawing bow","Deep cross collar grip|Same side pants grip|Stretch opponent like bow|Choke with collar pressure","Grip not deep|No pants grip|Not stretching|Loose position","BC_001|BC_005|BC_008","Stripping collar grip|Defending pants|Turning"
BC_008,Collar Choke from Back,Cross Collar,Okuri-eri-jime,submission,seatbelt_hooks,blue,gi,all_belts,"Collar choke from back using cross grips on opponent's lapels","One deep collar grip|Second hand feeds lapel|Cross grip configuration|Squeeze and pull","Grips not deep|Wrong configuration|Loose|Not pulling","BC_007|BC_005|BC_001","Stripping grips|Chin defense|Pulling lapels down"
BC_009,Armbar from Back,Back Mount Armbar,Juji-gatame das Costas,submission,seatbelt_hooks,blue,both,all_belts,"Transitioning to armbar when opponent defends choke from back","When arm is isolated defending choke|Swing leg over for armbar|Control arm throughout|Finish with hip extension","Losing arm|Poor transition|Too much space|No control","BC_001|BC_005|CG_009","Pulling arm|Turning into attacker|Stacking"
BC_010,Triangle from Back,Back Take Triangle,,submission,body_triangle,purple,both,all_belts,"Setting up triangle choke from back control position","Isolate one arm|Swing leg over for triangle|Rotate to front if needed|Finish triangle","Arm not isolated|Loose triangle|Poor rotation|Losing back","BC_002|CG_008|BC_001","Arm defense|Turning|Breaking triangle"
BC_011,Back Maintenance,Hook Recovery,,defense,seatbelt_hooks,white,both,all_belts,"Techniques to maintain back control when opponent is escaping","Maintain tight seatbelt|Recover lost hooks|Follow opponent's movement|Keep head tight","Losing seatbelt|Not following|Giving space|Hooks shallow","BC_001|BC_003|BC_004","Progressive escape|Clearing hooks|Turning"
