technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
SC_001,Standard Side Control,Cross-Side Control,Cem Quilos / Yoko Shiho-gatame,control,standard,white,both,all_belts,"Fundamental side control position perpendicular to opponent with chest-to-chest pressure","Chest-to-chest perpendicular|Underhook far arm|Crossface with near arm|Hips low and heavy","Too much space|Head too high|No crossface|Weight not distributed","SC_002|SC_003|MT_001","Shrimp escape|Frame and recover|Ghost escape"
SC_002,Kesa Gatame,Scarf Hold,Kesa-gatame,control,kesa_gatame,white,both,all_belts,"Judo-derived position with head locked under armpit facing opponent's legs","Head locked under armpit|Far arm controls hip or belt|Near arm trapped|Heavy hip pressure","Head escaping|No hip control|Weight too high|Gap under armpit","SC_001|SC_003|SC_004","Getting elbow to mat|Roll escape|Creating space"
SC_003,100 Kilos,Heavy Side Control,Cem Quilos,control,100_kilos,blue,both,all_belts,"Maximum pressure side control with both arms far side for crushing control","Both arms on far side of opponent|Maximum chest pressure|Hips switching|Grinding pressure","Not heavy enough|Hands wrong side|Too high|Allowing frames","SC_001|SC_002|SC_009","Frame escape|Bridging|Getting underhook"
SC_004,Reverse Kesa Gatame,Reverse Scarf Hold,Ushiro Kesa-gatame,control,reverse_kesa,blue,both,all_belts,"Kesa variation facing opponent's legs for kimura attacks","Face opponent's legs|Head control under far arm|Hip heavy on shoulder|Arm trapped for kimura","Not controlling head|Weight wrong place|Arm escaping|Poor positioning","SC_002|SC_012|SC_001","Hip escape|Rolling|Recovering guard"
SC_005,Twister Side Control,Leg Side Control,,control,twister_side,purple,both,all_belts,"Side control facing legs with legs threatening leg lock entries","Hips toward opponent's feet|Control upper body|Legs threaten attacks|Transition ready","Poor control|Legs not threatening|Weight wrong|Losing position","SC_004|LE_001|TT_010","Hip escape|Guard recovery|Attacking legs"
SC_006,North-South Transition,Passing to Head,,transition,standard,white,both,all_belts,"Moving from side control to north-south position","From side control, walk toward head|Maintain pressure throughout|Settle in north-south|Control with chest and arms","Losing pressure|Too fast|Giving space|Poor control","SC_001|NS_001|NS_002","Turning in|Recovering guard|Creating space"
SC_007,Mount Transition,Side to Mount,,transition,standard,white,both,all_belts,"Transitioning from side control to mount position","From side control, switch hips|Slide knee across stomach|Settle into mount|Maintain control throughout","Moving too fast|Losing control|Giving space|Poor timing","SC_001|MT_001|MT_004","Knee in|Half guard recovery|Bridging"
SC_008,Guillotine from Side,Side Control Guillotine,Guilhotina,submission,standard,blue,both,all_belts,"Guillotine choke set up when opponent turns in from side control","When opponent turns toward you|Wrap head and secure guillotine|Arm in or arm out variation|Finish with squeeze","Head not secured|Loose grip|Poor position|No control","SC_001|CG_013|SC_010","Pulling head out|Passing to side|Going flat"
SC_009,Arm Triangle from Side,Head and Arm Choke,Kata-gatame,submission,standard,blue,both,all_belts,"Choke encircling opponent's head and arm from side control position","Walk near arm across face|Encircle head and arm|Lock hands palm-to-palm|Dismount and finish","Arm not across|Too loose|Wrong angle|Not dismounting","SC_001|MT_011|SC_010","Chin defense|Pulling arm|Creating space"
SC_010,D'arce Choke,Brabo Choke,D'arce / Brabo,submission,standard,blue,both,all_belts,"Arm-in guillotine variation threading under armpit around neck from side","Thread arm under far armpit|Around neck and grip tricep|Walk toward their legs|Squeeze to finish","Wrong arm path|Loose grip|Poor angle|Not walking","SC_009|SC_011|CG_013","Head extraction|Defending arm|Creating space"
SC_011,Paper Cutter Choke,Bread Cutter,Estrangulamento Corta Papel,submission,standard,blue,gi,all_belts,"Collar choke from side control using far collar grip and forearm pressure","Deep far collar grip|Forearm blade across throat|Near arm controls|Drive shoulder and squeeze","Grip not deep|Forearm wrong angle|No control|Loose","SC_001|SC_012|MT_007","Stripping grip|Chin defense|Bridging"
SC_012,Kimura from Side Control,Figure-Four from Side,Gyaku Ude-garami,submission,reverse_kesa,white,both,all_belts,"Fundamental shoulder lock attacking far arm from side control","Isolate far arm|Figure-four grip at wrist|Control elbow|Rotate arm behind back","Loose grip|Not controlling elbow|Arm escaping|Poor position","SC_004|SC_001|CG_010","Straightening arm|Pulling free|Rolling"
SC_013,Americana from Side,Side Control Americana,Ude-garami,submission,standard,white,both,all_belts,"Figure-four shoulder lock on near arm from side control position","Pin near arm wrist to mat|Figure-four grip|Keep elbow pinned|Paint wrist toward hip","Elbow not pinned|Arm too straight|Loose grip|Wrong direction","SC_001|MT_008|SC_012","Straightening arm|Bridging|Pulling arm"
SC_014,Baseball Bat Choke,Spinning Choke,Taco de Beisebol,submission,standard,purple,gi,all_belts,"Collar choke using baseball bat grip and spinning motion from side control or mount","Four-fingers-in far collar|Thumb-in near collar|Baseball bat grip|Spin through to finish","Grips not set|Spinning wrong way|Loose grips|Poor timing","SC_001|KB_003|MT_007","Stripping grips|Following spin|Defending early"
SC_015,Bread Cutter Choke,Modified Paper Cutter,,submission,100_kilos,blue,gi,all_belts,"Variation of paper cutter with different grip configuration from heavy side control","From 100 kilos, near collar grip|Forearm across throat|Use body weight|Squeeze and press","Wrong grip|Not heavy|Forearm off throat|Too high","SC_003|SC_011|SC_001","Chin defense|Grip strip|Creating space"
SC_016,Side Control Escape,Fundamental Shrimp,Fuga da Lateral,escape,standard,white,both,all_belts,"Basic escape from side control using frames and hip escape","Frame on hip and shoulder/neck|Bridge up and into opponent|At peak, hip escape away|Insert knee and recover guard","Flat position|Poor frames|Bridging wrong direction|Not inserting knee","SC_001|SC_017|HG_019","Heavy pressure|Anticipating|Floating"
SC_017,Ghost Escape,Hip Roll Escape,,escape,standard,blue,both,all_belts,"Escape from side control by rolling through space created by frame","Frame on hip and head|When space opens, swing legs|Roll through ghost hole|Come to knees or guard","No frames|Missing the hole|Slow execution|Poor timing","SC_016|SC_018|SC_001","Closing space|Heavy pressure|Following"
SC_018,Wrestling Up,Underhook Escape,,escape,standard,blue,both,all_belts,"Getting to knees and wrestling up from side control using underhook","Get to side facing opponent|Establish underhook|Pop to knees|Drive for reversal or stand","Flat position|No underhook|Slow|Poor base","SC_016|SC_001|TD_002","Whizzer|Driving back down|Front headlock"
SC_019,Kesa Gatame Escape,Scarf Hold Escape,,escape,kesa_gatame,white,both,all_belts,"Escaping kesa gatame by getting elbow down and turning","Get near elbow to mat|Reach over opponent's back|Turn belly down|Get to knees","Elbow stuck|No reach|Slow turn|Giving arm","SC_002|SC_016|TT_001","Holding tight|Attacking arm|Heavy pressure"
SC_020,Side Control to Back,Rotation to Back,,transition,standard,blue,both,all_belts,"Taking the back when opponent turns away from side control","When opponent turns away|Follow to back|Insert hooks|Establish seatbelt control","Not following|Losing control|Poor timing|No hooks","SC_001|BC_001|BC_002","Staying flat|Turning toward|Recovering guard"
SC_021,Knee on Belly Transition,Side to KOB,,transition,standard,blue,both,all_belts,"Transitioning from side control to knee on belly position","From side, rise to knee on belly|Maintain control with grips|Pressure with knee|Ready for attacks","Losing control|Too fast|No pressure|Poor balance","SC_001|KB_001|KB_002","Hip escape|Pushing knee|Recovering guard"
SC_022,Wrist Lock from Side,Mão de Vaca Lateral,Mão de Vaca,submission,standard,blue,both,blue_and_above,"Attacking wrist when opponent is defending from bottom side control","When opponent frames or defends|Isolate wrist|Hyperextend wrist|Apply gradual pressure","Not isolating|Too fast|Wrong angle|Loose control","SC_013|SC_012|CG_029","Releasing grip|Straightening wrist|Bridging"
SC_023,Nearside Armbar,Step Over Armbar,,submission,standard,blue,both,all_belts,"Armbar attacking near arm by stepping over from side control","Control near arm|Step over head|Sit back into armbar|Finish with hip extension","Losing arm|Poor step over|Too much space|Not controlling","SC_001|MT_009|CG_009","Pulling arm|Rolling|Stacking"
SC_024,Farside Armbar,Spinning Armbar,,submission,standard,blue,both,all_belts,"Armbar on far arm spinning to attack from side control","Control far arm|Spin over to attack|Lock legs over face|Extend hips to finish","Losing arm|Slow spin|Too much space|Poor control","SC_001|SC_023|MT_009","Pulling arm|Following spin|Stacking"
SC_025,Monoplata from Side,Side Control Omoplata,,submission,standard,purple,both,all_belts,"Omoplata-style shoulder lock from side control position","Isolate far arm|Use leg to control shoulder|Apply shoulder pressure|Finish like omoplata","Losing arm|Poor leg position|Not enough pressure|Arm escaping","SC_001|CG_011|MT_019","Pulling arm|Rolling|Posturing"
