technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
NS_001,North-South Position,69 Position,Norte-Sul / Kami Shiho-gatame,control,control,blue,both,all_belts,"Top position perpendicular to opponent at their head with chest pressure","Chest on opponent's face/chest|Arms controlling at hips|Sprawled legs for base|Heavy pressure","Too light|No hip control|Poor base|Head too high","NS_002|NS_003|SC_001","Turning in|Creating space|Guard recovery"
NS_002,North-South Choke,Paper Cutter Choke,Estrangulamento Norte-Sul,submission,chokes,blue,both,all_belts,"Choke from north-south using arm around neck with lat/bicep compression","Arm around neck|Bicep and lat compress carotid|Hip pressure on shoulder|Squeeze and press","Arm not around|Poor compression|No hip pressure|Too high","NS_001|NS_003|SC_011","Chin defense|Turning|Creating space"
NS_003,Kimura from North-South,Top Kimura,Gyaku Ude-garami Norte-Sul,submission,armlocks,blue,both,all_belts,"Attacking kimura when opponent's arm is exposed from north-south","Isolate arm from position|Figure-four grip|Step over head if needed|Rotate arm behind back","Loose grip|Not stepping|Arm escaping|Poor angle","NS_001|SC_012|CG_010","Straightening arm|Pulling free|Turning"
NS_004,Armbar from North-South,Spinning Armbar NS,,submission,armlocks,blue,both,all_belts,"Armbar from north-south by spinning to isolate the arm","Control arm|Spin to armbar position|Secure with legs|Extend hips","Losing arm|Slow spin|Too much space|Not controlling","NS_001|SC_024|MT_009","Pulling arm|Following|Stacking"
NS_005,Transition to Side Control,NS to Side,,transition,transitions,blue,both,all_belts,"Moving from north-south back to standard side control","Walk around to side|Maintain pressure|Settle in side control|Establish grips","Losing pressure|Too fast|Giving space|Poor control","NS_001|SC_001|SC_003","Guard recovery|Turning|Creating space"
NS_006,Transition to Mount,NS to Mount,,transition,transitions,blue,both,all_belts,"Moving from north-south to mount by walking around","Walk around opponent's head|Continue to mount|Maintain pressure|Settle mount","Giving space|Slow transition|Losing control|Poor path","NS_001|MT_001|SC_007","Hip escape|Guard recovery|Bridging"
NS_007,North-South Escape,Turtle Escape NS,Fuga Norte-Sul,escape,escapes,white,both,all_belts,"Escaping north-south by turning to turtle or recovering guard","Frame and create space|Turn to side or turtle|Recover guard or stand|Protect neck throughout","No frames|Slow turn|Neck exposed|Not moving hips","NS_001|TT_001|SC_016","Maintaining pressure|Following|Attacking turtle"
NS_008,Reverse North-South,Inverted NS,,control,control,purple,both,all_belts,"North-south variation facing opponent's legs for different attacks","Position at head facing legs|Control hips|Threaten leg attacks|Ready for transitions","Poor control|Losing position|No threats|Exposed","NS_001|LE_001|SC_005","Hip escape|Guard recovery|Attacking legs"
NS_009,Paper Cutter from NS,Collar Choke NS,,submission,chokes,blue,gi,all_belts,"Collar choke variation from north-south using gi grips","Deep collar grip|Forearm across throat|Use position pressure|Squeeze to finish","Grip not deep|Poor angle|Loose|No pressure","NS_001|NS_002|SC_011","Stripping grip|Chin defense|Turning"
NS_010,Wrist Lock from NS,Mão de Vaca NS,Mão de Vaca,submission,armlocks,blue,both,blue_and_above,"Wrist lock attacking exposed arm from north-south position","Isolate opponent's wrist|Control forearm|Apply hyperflexion|Gradual pressure","Not isolating|Too fast|Wrong angle|Loose","NS_001|NS_003|CG_029","Releasing|Hiding wrist|Turning"
NS_011,Americana from NS,Arm Lock NS,Ude-garami,submission,armlocks,blue,both,all_belts,"Americana shoulder lock on exposed arm from north-south","Pin wrist to mat|Figure-four grip|Keep elbow down|Paint toward hip","Elbow up|Loose grip|Wrong angle|Arm not bent","NS_001|SC_013|MT_008","Straightening arm|Pulling free|Turning"
NS_012,Back Take from NS,NS to Back,,transition,transitions,blue,both,all_belts,"Taking the back when opponent turns from north-south position","When opponent turns away|Follow to back|Insert hooks|Establish seatbelt","Not following|Losing control|No hooks|Poor timing","NS_001|BC_001|SC_020","Staying flat|Guard recovery|Turning toward"
NS_013,Crucifix Entry from NS,NS Crucifix Setup,,transition,transitions,purple,both,all_belts,"Entering crucifix position from north-south when arm is trapped","Trap arm with legs|Position for crucifix|Control both arms|Attack from crucifix","Arm escaping|Poor transition|Losing control|Slow","NS_001|TT_009|BC_017","Defending arm|Escaping|Keeping arms in"
NS_014,North-South Maintenance,NS Pressure Control,,defense,control,blue,both,all_belts,"Techniques to maintain north-south when opponent is escaping","Heavy chest pressure|Control hips|Follow movement|Stay tight","Too light|No hip control|Not following|Giving space","NS_001|NS_007|SC_001","Creating space|Turning|Guard recovery"
NS_015,Short Choke from NS,Quick NS Choke,,submission,chokes,blue,both,all_belts,"Quick choke variation from north-south targeting front of throat","Forearm across throat|Quick pressure|Less setup than full NS choke|Explosive finish","Wrong placement|Not tight|Too slow|Loose","NS_002|NS_001|BC_006","Chin down|Turning|Creating space"
