Library_Name,City,State,Service_Population,Annual_Budget,ILS_System,Director_Name,Director_Email,Director_LinkedIn,Tech_Librarian_Name,Tech_Librarian_Email,Website,Tier,Innovation_Signals,Fiscal_Year_End,LSTA_Eligible,Consortium_Member,Priority_Score,Notes
"Tredyffrin Public Library","Wayne","PA",31000,,"Vega/Sierra","Su Minutolo","sminutolo@tredyffrinlibraries.org",,"","","https://www.tredyffrinlibraries.org",1,"Demo scheduled, Main Line affluent community","December","Yes","Chester County",10,"CONFIRMED DEMO - warm lead"
"Chester County Library System","Exton","PA",524000,,"Sierra","Marguerite Dube","","","","","https://www.chesco.org/library",1,"County system, 7 branches, innovation focus","December","Yes","",9,"County-wide influence if successful"
"Montgomery County-Norristown Public Library","Norristown","PA",856553,,"Polaris","","","","","","https://www.mc-npl.org",1,"Large county system, diverse population","December","Yes","",9,"Polaris user, large reach"
"Lower Merion Library System","Ardmore","PA",59850,,"Sierra","Amy Perreault","","","","","https://www.lmls.org",1,"Wealthy Main Line, 6 branches, high budget","December","Yes","",9,"Affluent, innovation-ready"
"Bucks County Free Library","Doylestown","PA",628000,,"Koha","Martina Kominiarek","","","","","https://www.buckslib.org",1,"7 branches, Koha user, growing county","December","Yes","",8,"Good ILS match"
"Upper Darby Township Libraries","Upper Darby","PA",85681,,"","","","","","","https://udlibraries.org",1,"Diverse community, 2 locations","December","Yes","Delaware County",7,"Social equity focus"
"Radnor Memorial Library","Wayne","PA",31833,,"Sierra","","","","","","https://www.radnorlibrary.org",1,"VERY CLOSE TO DREW, affluent Main Line, Sierra user","December","Yes","",10,"HIGH PRIORITY - local proximity, warm intro possible"
"Haverford Township Free Library","Havertown","PA",50000,,"","","","","","","https://www.haverfordlibrary.org",2,"Active programming, community engagement","December","Yes","Delaware County",7,"Strong community support"
"Free Library of Philadelphia","Philadelphia","PA",1584000,,"Sierra","Kelly Richards","","","","","https://www.freelibrary.org",4,"54 locations, large urban system","June","Yes","",6,"Complex but influential - Phase 2"
"Delaware County Libraries","Media","PA",566000,,"Sierra","","","","","","https://www.delcolibraries.org",2,"County system, 26 member libraries","December","Yes","",8,"Consortium opportunity"
"Wilmington Public Library","Wilmington","DE",70635,,"","Jamar Rahming","","","","","https://www.wilmlibrary.org",1,"Largest in Delaware, urban, diverse","June","Yes","Delaware Library Catalog",9,"Delaware anchor library"
"Newark Free Library","Newark","DE",33500,,"","","","","","","https://newarkfreelibrary.org",1,"University town, tech-savvy population","June","Yes","Delaware Library Catalog",8,"College town innovation"
"Dover Public Library","Dover","DE",38000,,"","Margery Kirby Cyr","","","","","https://www.doverpubliclibrary.org",2,"State capital, government workers","June","Yes","Delaware Library Catalog",7,"Capital influence"
"New Castle County Libraries","Wilmington","DE",570000,,"","","","","","","https://nccde.org/libraries",1,"County system, multiple branches","June","Yes","Delaware Library Catalog",8,"County-wide reach"
"Rehoboth Beach Public Library","Rehoboth Beach","DE",1500,30000,"","","","","","","https://www.rehobothlibrary.com",2,"Beach community, seasonal population","June","Yes","Delaware Library Catalog",6,"Affluent seasonal residents"
"Brandywine Hundred Library","Wilmington","DE",20000,,"","","","","","","https://nccde.org/1390/Brandywine-Library",2,"Affluent suburb, part of county system","June","Yes","Delaware Library Catalog",7,"Wealthy demographics"
"Hockessin Library","Hockessin","DE",15000,,"","","","","","","https://nccde.org/1389/Hockessin-Library",2,"Growing suburb, family-focused","June","Yes","Delaware Library Catalog",6,"Part of New Castle County"
"West Chester Public Library","West Chester","PA",20000,,"Sierra","","","","","","https://www.wcpubliclibrary.org",1,"University town, Chester County seat","December","Yes","Chester County",8,"County seat, university influence"
"Phoenixville Public Library","Phoenixville","PA",18000,,"Sierra","","","","","","https://www.phoenixvillelibrary.org",2,"Revitalized town, arts community","December","Yes","Chester County",7,"Growing, innovative community"
"Malvern Public Library","Malvern","PA",3500,,"Sierra","","","","","","https://www.malvernpubliclibrary.org",2,"Small but affluent, Great Valley area","December","Yes","Chester County",6,"Part of Chester County system"
