technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
KB_001,Knee on Belly,KOB|Knee Ride,Joelho na Barriga / Uki-gatame,control,standard,blue,both,all_belts,"Checkpoint position with knee on opponent's stomach forcing reactions worth 2 points IBJJF","Knee on solar plexus/stomach|Other leg posted wide for base|Pull weight down with grips|Stay light and mobile","Knee too low|No base|Weight not pulling|Static position","KB_002|KB_003|SC_001","Hip escape|Pushing knee|Turning away"
KB_002,Near Side Armbar,KOB Armbar,Juji-gatame do Joelho,submission,attacks,blue,both,all_belts,"Armbar attacking near arm when opponent pushes knee from knee on belly","When opponent pushes on knee|Control arm and step over|Sit back into armbar|Finish with hip extension","Not controlling arm|Poor step over|Too much space|Slow transition","KB_001|MT_009|CG_009","Pulling arm|Bridging|Stacking"
KB_003,Baseball Bat Choke,Spinning Choke,Taco de Beisebol,submission,attacks,purple,gi,all_belts,"Collar choke from KOB using baseball bat grip and spinning motion","Four-fingers-in far collar|Thumb-in near collar|Baseball bat grip|Spin through to finish","Grips not set|Wrong spin|Loose grips|Poor timing","KB_001|SC_014|MT_007","Stripping grips|Following spin|Defending early"
KB_004,Cross Choke from KOB,Far Collar Choke,Estrangulamento Cruzado,submission,attacks,blue,gi,all_belts,"Cross collar choke attacking from knee on belly position","Deep cross collar grips|Maintain KOB pressure|Pull elbows in|Squeeze to finish","Grips not deep|Losing position|Elbows flaring|Not tight","KB_001|CG_012|MT_007","Stripping grips|Chin defense|Escaping"
KB_005,Transition to Mount,KOB to Mount,,transition,transitions,blue,both,all_belts,"Moving from knee on belly to full mount position","From KOB, slide knee across|Settle into mount|Maintain control|Establish mount grips","Losing control|Too fast|Giving space|Poor balance","KB_001|MT_001|MT_004","Knee insertion|Half guard|Bridging"
KB_006,Transition to Back,KOB Back Take,,transition,transitions,blue,both,all_belts,"Taking the back when opponent turns away from knee on belly","When opponent turns away|Follow to back|Insert hooks|Establish seatbelt","Not following|Losing control|No hooks|Poor timing","KB_001|BC_001|BC_003","Staying flat|Turning toward|Recovering guard"
KB_007,Far Side Armbar,Step Over Armbar,,submission,attacks,blue,both,all_belts,"Armbar on far arm by stepping over from knee on belly position","Control far arm|Step over with posted leg|Sit back into armbar|Finish with extension","Losing arm|Poor step|Too slow|Not controlling","KB_001|SC_024|MT_009","Pulling arm|Following|Bridging"
KB_008,Knee on Belly Escape,KOB Escape,Fuga do Joelho na Barriga,escape,escapes,white,both,all_belts,"Fundamental escape from knee on belly using hip escape and frames","Frame on knee and hip|Hip escape away|Insert knee|Recover guard or escape","No frames|Pushing up|Not hip escaping|Slow","KB_001|SC_016|HG_019","Maintaining pressure|Following|Reattacking"
KB_009,Reverse Knee on Belly,RKOB,,control,standard,purple,both,all_belts,"Knee on belly facing opponent's legs for leg lock entries","Knee on belly facing legs|Control upper body|Legs threatening|Ready for leg attacks","Poor control|Losing position|No leg threat|Exposed","KB_001|SC_005|LE_001","Hip escape|Attacking legs|Guard recovery"
KB_010,Wrist Lock from KOB,Mão de Vaca KOB,Mão de Vaca,submission,attacks,blue,both,blue_and_above,"Wrist lock when opponent defends from bottom of knee on belly","When opponent frames or grabs|Isolate wrist|Apply hyperflexion|Gradual pressure","Not isolating|Too fast|Wrong angle|Losing position","KB_001|SC_022|CG_029","Releasing grip|Hiding wrist|Escaping"
KB_011,Spinning Armbar,Whirling Armbar,,submission,attacks,purple,both,all_belts,"Armbar by spinning around opponent's head from knee on belly","Control arm|Spin around head|Lock armbar position|Finish with extension","Losing arm|Slow spin|Too much space|Poor control","KB_001|KB_002|KB_007","Pulling arm|Following spin|Defending"
KB_012,S-Mount Entry,Technical Mount from KOB,,transition,transitions,blue,both,all_belts,"Transitioning from knee on belly to S-mount for arm attacks","From KOB, slide into S-mount|Trap arm under leg|Secure position|Attack armbar","Losing control|Poor transition|Arm escaping|No pressure","KB_001|MT_003|MT_009","Escaping arm|Bridging|Creating space"
KB_013,Collar Drag from KOB,Pull to Back,,transition,transitions,blue,gi,all_belts,"Using collar grip to drag opponent up and take back from KOB","From KOB, deep collar grip|Pull opponent up|Circle to back|Establish control","Weak grip|Not pulling through|Losing position|Poor timing","KB_001|BC_001|KB_006","Staying down|Defending collar|Guard recovery"
KB_014,North-South Entry,KOB to NS,,transition,transitions,blue,both,all_belts,"Transitioning from knee on belly to north-south position","From KOB, walk toward head|Settle into north-south|Maintain pressure|Control with chest","Losing pressure|Too fast|Giving space|Poor angle","KB_001|NS_001|SC_006","Turning in|Guard recovery|Creating space"
KB_015,Knee on Belly Maintenance,KOB Balance,,defense,standard,blue,both,all_belts,"Techniques to maintain knee on belly when opponent is escaping","Stay light and mobile|Follow opponent's movement|Switch sides if needed|Maintain grips","Static position|Too heavy|Not following|Losing grips","KB_001|KB_008|SC_001","Hip escape|Pushing|Turning"
