technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
CL_001,Collar Tie,Collar Grip,Pegada no Colarinho,control,controls,white,both,all_belts,"Hand behind opponent's neck controlling head position common wrestling/clinch position","Hand behind neck cupping|Forearm blocks shoulder|Control head position|Set up attacks","Loose grip|Poor elbow position|Not controlling|Passive","CL_002|TD_006|TD_004","Underhook|Hand fighting|Posturing"
CL_002,Underhook,Inside Position,Gancho por Baixo,control,controls,white,both,all_belts,"Arm under opponent's armpit with hand on their back establishing inside position","Arm under armpit|Hand on back|Fight for inside position|Double unders dominant","Shallow hook|Poor hand position|Losing position|Passive","CL_001|CL_003|TD_001","Counter underhook|Whizzer|Hand fighting"
CL_003,Double Underhooks,Double Unders,Duplo Gancho,control,controls,white,both,all_belts,"Both arms under opponent's armpits establishing dominant clinch position","Both arms under|Hands clasped on back|Dominant position|Set up throws or takedowns","Loose grip|Head position poor|Not driving|Passive","CL_002|TD_001|TD_011","Whizzers|Posturing|Hand fighting"
CL_004,Two-on-One,Russian Tie|Arm Drag Position,2-on-1,control,controls,blue,both,all_belts,"Controlling opponent's arm with both hands at wrist and tricep for attacks","One hand on wrist|Other on tricep|Control arm completely|Attack from position","Loose grips|Opponent escaping|Poor timing|Not attacking","CL_001|TD_004|TD_023","Arm recovery|Counter|Pulling free"
CL_005,Overhook,Whizzer,Gancho por Cima,control,controls,white,both,all_belts,"Arm over opponent's arm hooking above elbow for control and defense","Hook over arm above elbow|Drive hip into opponent|Defensive and offensive|Counter underhook","Shallow hook|No hip|Weak control|Passive","CL_002|TD_002|CL_006","Pummel out|Under hook|Hand fighting"
CL_006,Whizzer Defense,Overhook Counter,,defense,defense,white,both,all_belts,"Using whizzer/overhook to defend single leg and other attacks","Hook opponent's arm|Drive hip into them|Prevent finish|Create space to escape","Shallow hook|No hip pressure|Slow|Giving up","TD_002|CL_005|TD_001","Completing takedown|Power through|Circling"
CL_007,Sprawl,Hip Defense,Sprawl,defense,defense,white,both,all_belts,"Primary defense to leg attacks driving hips back and down explosively","Drive hips back and DOWN|Chest on opponent's back|Hips low|Follow up with control","Hips not back|Not down|Too slow|Too high","TD_001|TD_002|TD_006","Finishing through|Switching|Circling"
CL_008,Front Headlock,Guillotine Position,Controle de Cabeça,control,controls,white,both,all_belts,"Controlling opponent's head from front with arm around neck for attacks","Arm around neck|Chin strap or gable grip|Control head down|Attack or transition","Loose grip|Not controlling|Poor position|Opponent posturing","TD_006|CG_013|SC_010","Posturing|Wrestling up|Shooting"
CL_009,Pummeling,Hand Fighting,Luta de Mãos,control,controls,white,both,all_belts,"Battle for inside position exchanging underhooks with opponent","Swim arms for position|Fight for underhooks|Stay active|Win inside battle","Passive|Slow|Giving position|Poor timing","CL_002|CL_003|CL_005","Winning pummel|Snap down|Level change"
CL_010,Arm Drag,Arm Pull,Arrastar o Braço,transition,controls,blue,both,all_belts,"Pulling opponent's arm across body to get behind them or set up attacks","Control at wrist and tricep|Pull arm across body|Get behind or attack|Quick movement","Weak drag|Not following|Slow|Opponent recovering","TD_023|BC_001|CL_004","Strong arm|Recovery|Counter"
CL_011,Snap Down to Turtle,Head Snap,,transition,controls,blue,both,all_belts,"Snapping opponent down from clinch to force turtle position","From collar tie|Snap head down forcefully|Opponent goes to turtle|Attack turtle","Weak snap|Not following|Poor timing|Opponent posturing","CL_001|TD_006|TT_001","Strong posture|Shooting|Recovery"
CL_012,Takedown Defense Base,Stance and Base,Base,defense,defense,white,both,all_belts,"Fundamental stance and base for defending takedowns while standing","Athletic stance|Weight balanced|Ready to sprawl|Hands ready","Too upright|Weight forward|Flat footed|Poor balance","CL_007|TD_001|TD_002","Setting up shot|Faking|Pulling"
CL_013,Hip Block,Hip Defense,,defense,defense,blue,both,all_belts,"Using hip to block throws and certain takedown attempts","Hip into opponent|Block their hip entry|Prevent throw|Create space","Poor timing|Not blocking|Slow|Wrong position","TD_011|TD_012|CL_007","Power through|Switch|Level change"
CL_014,Cross Face Defense,Collar Defense,,defense,defense,white,both,all_belts,"Defending cross face or collar control attempts while standing","Frame on shoulder/neck|Create space|Maintain posture|Counter or escape","Giving position|No frame|Passive|Poor posture","CL_001|CL_002|SC_001","Strong crossface|Snap down|Shooting"
CL_015,Thai Clinch,Plum Position,,control,controls,purple,both,all_belts,"Double collar tie from Muay Thai controlling opponent's head completely","Both hands behind neck|Fingers interlaced|Pull head down|Complete control","Loose grip|Elbows wide|Not pulling|Opponent posturing","CL_001|TD_006|TD_011","Underhooks|Posturing|Hand fighting"
