technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
MT_001,Low Mount,Basic Mount,Montada Baixa,control,low_mount,white,both,all_belts,"Fundamental mount position sitting on opponent's stomach/hips with knees near their hips","Sit on opponent's stomach or hips|Knees tight to their sides|Toes hooked under thighs or grapevined|Maintain weight forward and low","Sitting too upright|Knees too far from body|No hooks|Weight too far back","MT_002|MT_003|MT_007","Trap and roll|Elbow-knee escape|Heel drag"
MT_002,High Mount,Chest Mount,Montada Alta,control,high_mount,blue,both,all_belts,"Advanced mount position with knees in opponent's armpits sitting on upper chest","Walk knees up toward armpits|Sit on chest/upper sternum|Control arms with knees|Head control with hands","Not walking high enough|Losing balance|Knees not controlling arms|Weight back","MT_001|MT_003|MT_004","Bench press escape|Creating space|Turning to side"
MT_003,S-Mount,Technical Armbar Mount,Montada em S,control,s_mount,blue,both,all_belts,"Mount variation with one knee beside head and other foot curled under opponent's armpit","One knee beside opponent's head|Other leg curled with foot under armpit|Trap near arm under leg|Ready for armbar","Poor leg positioning|Arm not trapped|Losing balance|Too much space","MT_002|MT_009|MT_004","Escaping arm|Bridging|Pushing knee"
MT_004,Grapevine Mount,Hooks In Mount,Montada com Ganchos,control,grapevine,white,both,all_belts,"Mount with legs grapevined inside opponent's legs for maximum control and base","Hook feet inside opponent's legs|Extend to flatten opponent|Heavy chest pressure|Control at head or underhooks","Hooks too shallow|Not extending|Weight too high|Allowing space","MT_001|MT_005|MT_015","Knee to elbow|Bridge and roll|Creating space"
MT_005,Mounted Ezekiel Choke,Ezequiel from Mount,Sode-guruma-jime,submission,grapevine,blue,gi,all_belts,"Ezekiel choke from grapevine mount threading through sleeve","From grapevine mount, arm behind head|Thread hand through own sleeve|Blade of forearm across throat|Squeeze and flatten","Forearm not on throat|Losing mount|Telegraphing|Loose sleeve grip","MT_004|MT_006|MT_007","Chin defense|Turning away|Trapping arm"
MT_006,Arm Collect,Arm Isolation,Controle de Braço,control,high_mount,blue,both,all_belts,"Trapping opponent's arm for submission setups from mount","From mount, isolate one arm|Control at wrist with two hands|Walk knee up to armpit|Keep arm trapped and controlled","Losing arm control|Not securing properly|Giving space|Poor positioning","MT_002|MT_009|MT_010","Pulling arm free|Bridging|Framing"
MT_007,Cross Collar Choke from Mount,Roger Gracie Choke,Estrangulamento Cruzado,submission,high_mount,white,gi,all_belts,"Fundamental cross collar choke from mount with deep grips signature of Roger Gracie","Establish deep collar grip palm up|Second hand crosses over with thumb in|Pull elbows tight|Squeeze forearms together","Grips not deep|Elbows flaring|Not controlling posture|Hands too close","MT_002|MT_005|CG_012","Stripping grips|Bridging|Protecting neck"
MT_008,Americana from Mount,Figure-Four Key Lock,Ude-garami,submission,low_mount,white,both,all_belts,"Fundamental shoulder lock using figure-four grip on bent arm from mount","Isolate arm and pin wrist to mat|Figure-four grip on wrist|Elbow to mat|Paint wrist toward opponent's hip","Elbow not pinned|Loose grip|Too high|Arm not bent","MT_001|MT_010|MT_009","Straightening arm|Bridging|Grabbing own arm"
MT_009,Armbar from Mount,Mounted Armbar,Juji-gatame,submission,s_mount,white,both,all_belts,"Armbar from mount transitioning through S-mount position","Isolate arm from mount|Transition to S-mount|Swing leg over face|Pinch knees and extend hips","Losing arm control|Falling off|Too much space|Not pinching knees","MT_003|MT_006|CG_009","Hitchhiker|Pulling arm|Bridging and rolling"
MT_010,Mounted Kimura,Figure-Four from Mount,Gyaku Ude-garami,submission,low_mount,white,both,all_belts,"Kimura shoulder lock from mount when opponent's arm is extended or posting","Control wrist when arm extends|Sit up and figure-four grip|Rotate arm behind back|Keep weight on opponent","Losing mount|Loose grip|Not sitting up|Allowing escape","MT_001|MT_008|CG_010","Straightening arm|Rolling|Pulling arm free"
MT_011,Arm Triangle from Mount,Head and Arm Choke,Kata-gatame,submission,high_mount,blue,both,all_belts,"Choke encircling head and arm from mount finishing from side or mount","Walk opponent's arm across their face|Encircle head and arm|Lock hands|Finish from mount or dismount","Arm not across face|Loose grip|Poor angle|Not tight","MT_002|SC_009|SC_010","Chin defense|Pulling arm|Creating space"
MT_012,Mounted Triangle,Triangle from Mount,Sankaku-jime Montado,submission,high_mount,blue,both,all_belts,"Setting up triangle choke from mount when one arm in one arm out","From mount, create one arm in one out|Swing leg over trapped arm and neck|Lock triangle|Finish mounted or transition","Poor arm positioning|Loose triangle|Falling off|Not cutting angle","MT_002|CG_008|MT_003","Arm positioning|Bridging|Stacking"
MT_013,Gift Wrap,Arm Trap Control,Presente,control,high_mount,blue,both,all_belts,"Controlling opponent's arm trapped across their own body from mount","Trap opponent's arm across their body|Control at wrist|Maintain mount position|Set up back take or choke","Losing control|Not maintaining mount|Arm escaping|Poor positioning","MT_002|MT_014|BC_001","Pulling arm free|Bridging|Turning away"
MT_014,Mount to Back Take,Gift Wrap Back Take,,transition,high_mount,blue,both,all_belts,"Taking the back from mount when opponent turns away or using gift wrap","From mount or gift wrap control|When opponent turns, follow|Insert hooks|Establish seatbelt","Losing control|Not following|Poor timing|No hooks","MT_013|BC_001|BC_002","Staying flat|Facing up|Removing arm"
MT_015,Mount Maintenance,Base Control,,defense,low_mount,white,both,all_belts,"Techniques to maintain mount when opponent is escaping","Keep weight forward and low|Post with hands when bridged|Slide knee back when they shrimp|Stay tight to opponent","Sitting too upright|Posting too late|Giving space|Weight back","MT_001|MT_004|MT_002","Trap and roll|Elbow knee|Heel drag"
MT_016,Technical Mount,Transition Mount,Montada Técnica,control,technical_mount,blue,both,all_belts,"One foot posted with knee across opponent's body used for transitions","One foot flat on mat|Other knee across opponent|Ready to transition|Maintain control with pressure","Poor foot position|Losing balance|Not controlling|Gap underneath","MT_002|MT_003|MT_017","Coming to knees|Replacing guard|Bridging"
MT_017,Mount to Knee on Belly,Position Transition,,transition,technical_mount,blue,both,all_belts,"Transitioning from mount to knee on belly for different attack angles","From technical mount, lift to knee on belly|Maintain control throughout|Pressure with knee|Control with grips","Losing control|Too much space|Poor pressure|No grips","MT_016|KB_001|KB_002","Replacing guard|Bridging|Escaping to side"
MT_018,Mounted Wrist Lock,Mão de Vaca from Mount,Mão de Vaca,submission,high_mount,blue,both,blue_and_above,"Wrist lock from mount when opponent is defending chokes with hands","Isolate wrist when defending neck|Control forearm|Apply wrist hyperflexion|Gradual pressure","Not isolating|Too fast|Poor angle|Loose control","MT_007|MT_008|CG_029","Releasing hand|Straightening wrist|Bridging"
MT_019,Monoplata,Mounted Omoplata,,submission,high_mount,purple,both,all_belts,"Omoplata variation executed from mount position","From mount, trap arm similar to omoplata|Use leg to control shoulder|Apply shoulder pressure|Finish from mount","Losing mount|Poor arm control|Not enough pressure|Arm escaping","CG_011|MT_003|MT_009","Pulling arm|Rolling|Bridging"
MT_020,Paper Cutter from Mount,Ezekiel Variation,,submission,high_mount,blue,gi,all_belts,"Choke variation from mount using collar grip and forearm pressure","From high mount, deep collar grip|Forearm across throat|Use other hand for pressure|Squeeze and press","Grip not deep|Poor forearm placement|Losing position|Not tight","MT_007|MT_005|SC_011","Chin defense|Stripping grip|Bridging"
