technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
TD_001,Double Leg Takedown,Blast Double,Morote-gari,takedown,wrestling,white,both,all_belts,"Wrestling takedown shooting for both legs to take opponent down","Level change explosively|Penetration step|Shoulder in hip at 45 degrees|Head on outside to avoid guillotine","Head inside (guillotine)|No level change|Slow penetration|Poor finishing","TD_002|TD_003|CL_003","Sprawl|Guillotine|Whizzer"
TD_002,Single Leg Takedown,High Crotch Finish,Derrubar de Perna,takedown,wrestling,white,both,all_belts,"Wrestling takedown attacking one leg with various finishes available","Penetration step|Secure leg behind knee|Head inside or outside|Finish with trip or lift","Slow|Loose grip|Poor head position|Standing up too early","TD_001|TD_004|TD_005","Sprawl|Whizzer|Hopping"
TD_003,High Crotch,Inside Single,,takedown,wrestling,blue,both,all_belts,"Single leg variation with head inside attacking inner thigh","Level change|Head inside position|Control at thigh|Finish with lift or trip","Head exposed|Loose grip|Poor level change|Slow","TD_002|TD_001|TD_004","Guillotine|Whizzer|Sprawl"
TD_004,Ankle Pick,Foot Sweep,,takedown,wrestling,blue,both,all_belts,"Takedown grabbing ankle while steering opponent down with upper body","Collar tie or grip|Pull posture down|Level change grab ankle|Steer down with upper control","No setup|Poor timing|Weak grip|Standing up","TD_002|CL_002|TD_006","Stepping back|Pulling up|Balance"
TD_005,Run the Pipe,Single Leg Finish,,takedown,wrestling,blue,both,all_belts,"Single leg finish driving shoulder through while running around opponent","Secure single leg|Drive shoulder into hip|Run around toward captured leg|Take down at angle","Stopping|Loose leg|Poor angle|Opponent hopping","TD_002|TD_003|TD_001","Hopping|Whizzer|Sprawl"
TD_006,Snap Down,Front Headlock Entry,Puxar para Baixo,takedown,wrestling,white,both,all_belts,"Snapping opponent's head down from collar tie to front headlock","From collar tie|Pull head down sharply|Step back creating angle|Secure front headlock","Not stepping back|Weak pull|Poor timing|Opponent posturing","CL_002|TD_007|CG_013","Strong posture|Underhook|Shooting"
TD_007,Front Headlock Go-Behind,Arm Drag Go-Behind,,transition,wrestling,blue,both,all_belts,"From front headlock circling behind opponent for back take or takedown","From front headlock|Circle behind opponent|Establish control|Take down or take back","Losing control|Slow circle|Poor timing|Opponent escaping","TD_006|BC_001|CL_002","Standing up|Wrestling up|Defending grip"
TD_008,Osoto Gari,Major Outer Reap,Osoto Gari,takedown,judo,white,gi,all_belts,"Judo throw reaping outside leg while driving backward with upper body","Grip at collar and sleeve|Step outside opponent's leg|Reap leg while driving back|Follow to top","Poor timing|Weak reap|No upper drive|Off balance","TD_009|TD_010|CL_001","Blocking leg|Counter throw|Stepping over"
TD_009,Ouchi Gari,Major Inner Reap,Ouchi Gari,takedown,judo,white,gi,all_belts,"Judo throw reaping inside lead leg while driving forward","Control at collar and sleeve|Step inside|Reap inner leg backward|Drive forward to complete","No drive|Weak reap|Poor timing|Off balance","TD_008|TD_010|TD_011","Stepping back|Counter|Balance"
TD_010,Kouchi Gari,Minor Inner Reap,Kouchi Gari,takedown,judo,white,gi,all_belts,"Judo foot sweep hooking ankle or heel from inside","Hook ankle from inside|Pull with upper body|Timing as opponent steps|Off-balance to complete","Poor timing|Weak hook|No upper pull|Wrong foot","TD_009|TD_019|TD_008","Stepping over|Counter hook|Balance"
TD_011,Seoi Nage,Shoulder Throw,Seoi Nage,takedown,judo,blue,gi,all_belts,"Classic judo shoulder throw with 180 degree turn loading opponent on shoulder","Turn in 180 degrees|Load on shoulder and hip|Pull and lift|Throw over shoulder","Not turning enough|No kuzushi|Poor loading|Off balance self","TD_012|TD_014|TD_008","Blocking turn|Counter throw|Sprawling"
TD_012,Harai Goshi,Sweeping Hip,Harai Goshi,takedown,judo,blue,gi,all_belts,"Hip throw sweeping opponent's leg while rotating over hip","Hip below opponent's center|Sweep leg with back of leg|Pull strongly|Throw over hip","Hip too high|Weak sweep|No pull|Off balance","TD_011|TD_013|TD_008","Blocking hip|Counter|Stepping over"
TD_013,Uchi Mata,Inner Thigh,Uchi Mata,takedown,judo,purple,gi,all_belts,"Advanced judo throw sweeping inner thigh with strong upper body pull","Lift inner thigh with leg|Strong pull with hands|Pivot and sweep|Complete throw rotation","Weak sweep|No pull|Poor timing|Off balance self","TD_012|TD_011|TD_014","Blocking leg|Counter|Balance"
TD_014,Tai Otoshi,Body Drop,Tai Otoshi,takedown,judo,blue,gi,all_belts,"Judo throw stepping across to block and drop opponent over leg","Step across opponent|Leg blocks their leg|Pull them over your leg|Complete throw with rotation","Not blocking|Weak pull|Poor step|Off balance","TD_011|TD_012|TD_015","Stepping over block|Counter|Balance"
TD_015,Tomoe Nage,Circle Throw,Tomoe Nage,takedown,judo,blue,both,all_belts,"Sacrifice throw placing foot on hip and rolling back to throw opponent overhead","Foot on hip|Roll back pulling opponent|Throw overhead|Follow to mount or guard","Foot slipping|Not pulling|Poor timing|Weak throw","TD_016|OG_005|CG_005","Posting|Sprawling|Blocking foot"
TD_016,Sumi Gaeshi,Corner Reversal,Sumi Gaeshi,takedown,judo,blue,both,all_belts,"Sacrifice throw similar to butterfly sweep from standing hooking inner thigh","Hook inner thigh|Roll back|Throw to side|Follow to top position","Weak hook|No pull|Poor timing|Missing hook","TD_015|OG_020|OG_019","Posting|Sprawling|Disengaging"
TD_017,De Ashi Barai,Advancing Foot Sweep,De Ashi Barai,takedown,judo,blue,gi,all_belts,"Judo foot sweep timing sweep as opponent advances and steps","Time as opponent steps|Sweep advancing foot|Pull with upper body|Complete off-balance","Wrong timing|Weak sweep|No pull|Missing foot","TD_010|TD_019|TD_008","Stepping over|Counter sweep|Balance"
TD_018,Guard Pull,Seated Guard Pull,Puxar para Guarda,entry,guard_pull,white,both,all_belts,"Sitting to guard position from standing to engage ground game","Secure grips first|Sit down quickly|Immediately engage guard|Control with hooks/grips","No grips|Slow|Passive after sitting|Exposed","TD_019|OG_019|CG_001","Staying standing|Pressure passing|Knee slice"
TD_019,Collar Sleeve Guard Pull,Technical Guard Pull,,entry,guard_pull,blue,gi,all_belts,"Guard pull using collar and sleeve grips with foot on hip","Collar and sleeve grips|Foot on hip|Sit back with tension|Immediately attack","Loose grips|No hip|Passive|Slow","TD_018|OG_015|OG_001","Passing over|Stripping grips|Pressure"
TD_020,Jumping Guard,Flying Guard,Pular para Guarda,entry,guard_pull,blue,both,all_belts,"Jumping to wrap legs around standing opponent (high injury risk)","Secure grips|Jump and wrap legs|Lock guard immediately|Begin attacks","High injury risk|Missing wrap|No grips|Dangerous","TD_018|CG_001|CG_015","Not engaging|Throwing|Slamming illegal"
TD_021,DLR Guard Pull,De La Riva Pull,,entry,guard_pull,blue,both,all_belts,"Guard pull immediately hooking into De La Riva position","Grips established|Sit and immediately hook DLR|Control ankle|Attack from DLR","Slow hook|No control|Passive|Exposed","TD_018|OG_001|OG_002","Passing quickly|Breaking hook|Knee slice"
TD_022,Fireman's Carry,Kata Guruma,Kata Guruma,takedown,wrestling,blue,both,all_belts,"Wrestling/judo takedown loading opponent on shoulders and throwing","Level change|Load on shoulders|Control arm and leg|Throw to side","Not loading|Poor timing|Weak throw|Off balance","TD_001|TD_011|CL_005","Sprawling|Counter|Balance"
TD_023,Arm Drag Takedown,Go Behind from Arm Drag,,takedown,wrestling,blue,both,all_belts,"Using arm drag to get behind opponent for takedown or back take","Grip at wrist and tricep|Drag arm across body|Get behind opponent|Complete takedown or back","Weak drag|Not following|Slow|Opponent recovering","CG_019|BC_001|TD_007","Strong recovery|Counter|Turning to face"
TD_024,Duck Under,Head Inside Single,,takedown,wrestling,blue,both,all_belts,"Going under opponent's arm to get behind from clinch","From collar tie|Duck under arm|Get behind opponent|Complete takedown","Slow duck|Caught under|Poor timing|Not finishing","CL_002|TD_002|TD_023","Whizzer|Pulling back|Sprawl"
TD_025,Knee Tap,Trip Takedown,,takedown,wrestling,blue,both,all_belts,"Quick takedown tapping behind knee while steering with upper body","Control at collar/head|Tap behind knee|Steer opponent down|Follow to top","Poor timing|Weak tap|No control|Slow","TD_004|CL_002|TD_006","Stepping back|Balance|Counter"
