technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
LE_001,Standard Ashi Garami,Single Leg X|SLX,Ashi Garami,control,ashi_garami,blue,both,all_belts,"Fundamental leg entanglement with outside foot on hip inside leg hooking behind knee","Outside foot on hip|Inside leg hooks behind knee|Control at ankle|Hips tight to leg","Loose hips|Poor hook|No ankle control|Opponent escaping","LE_002|LE_003|OG_025","Stepping over|Extracting leg|Passing"
LE_002,Outside Ashi,Straight Ashi,Ashi Garami Externo,control,outside_ashi,blue,both,all_belts,"Leg entanglement with both feet outside opponent's hips controlling one leg","Both feet outside hips|Triangle or cross|Control at ankle|Attack angles","Loose control|Poor foot position|Ankle not controlled|Opponent escaping","LE_001|LE_003|LE_005","Extracting leg|Attacking back|Inverting out"
LE_003,Inside Sankaku,Saddle|411|Honey Hole,Nai Sankaku,control,saddle,purple,both,all_belts,"Most dominant leg lock position with outside leg crossing over triangling above knee","Outside leg crosses over|Triangle above opponent's knee|Inside leg hooks|Maximum control","Loose triangle|Poor positioning|Opponent escaping|Not controlling hips","LE_001|LE_002|LE_005","Knee extraction|Back exposure|Inverting"
LE_004,Cross Ashi,Reverse Ashi,Ashi Garami Cruzado,control,ashi_garami,purple,both,all_belts,"Leg entanglement with legs crossed opposite to standard configuration","Legs crossed configuration|Different control angle|Transition position|Attack options","Loose cross|Opponent escaping|Poor control|Not attacking","LE_001|LE_002|LE_003","Uncrossing|Escaping|Counter attack"
LE_005,50/50 Entanglement,Fifty Fifty Legs,,control,50_50,purple,both,all_belts,"Symmetrical leg entanglement where both fighters have equal position on each other's leg","Both have leg triangle|Symmetrical position|Ankle control critical|Position warfare","Loose triangle|No ankle control|Getting swept|Losing angle","LE_001|LE_003|OG_029","Breaking triangle|Inverting|Attacking first"
LE_006,80/20 Position,Dominant Leg Lock,,control,ashi_garami,purple,both,all_belts,"Leg entanglement with significant positional advantage over opponent","Dominant angle|Opponent's back to mat|Superior control|Attack ready","Losing advantage|Opponent recovering|Poor control|Not attacking","LE_001|LE_003|LE_005","Recovering|Sweeping|Counter attack"
LE_007,K Guard Entry,Lachlan Giles Guard,K Guard,entry,ashi_garami,purple,both,all_belts,"Modified SLX entry for easier leg lock access created by Lachlan Giles","Modified SLX position|Knee line across opponent|Easy heel hook entry|ADCC proven","Poor knee position|Losing control|Passed|Wrong configuration","LE_001|LE_003|OG_044","Passing over|Extracting|Counter attack"
LE_008,Calf Slicer Position,Calf Crush Setup,Esmagador de Panturrilha,control,ashi_garami,brown,both,brown_black_only,"Position for calf slicer with shin behind opponent's knee for compression","Shin behind knee|Control at ankle|Force heel to buttocks|Compression attack","Poor shin placement|Not controlling|Wrong angle|Illegal at lower belts","LE_001|HG_025|SM_044","Straightening leg|Kicking free|Counter"
LE_009,Leg Pummeling,Leg Wrestling,,transition,ashi_garami,purple,both,all_belts,"Fighting for superior leg entanglement position exchanging hooks","Pummel for position|Inside vs outside|Win the battle|Establish control","Passive|Losing position|Not pummeling|Opponent winning","LE_001|LE_002|LE_005","Winning pummel|Escaping|Passing"
LE_010,Back Exposure,Leg Lock Counter,,transition,ashi_garami,purple,both,all_belts,"Giving back to escape leg entanglement and transition to other attacks","Turn to give back|Escape leg control|Counter attack|Take back or stand","Staying in entanglement|Too slow|Poor timing|Giving submission","LE_001|BC_001|TD_005","Maintaining control|Following|Finishing attack"
