technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
GP_001,Body Lock Pass,Pressure Pass,Passagem com Abraço,pass,pressure,blue,both,all_belts,"Pressure pass wrapping around opponent's torso with body lock grip neutralizing guard","Underhook near side|Wrap far side with body lock|Clasp hands under scapula|Tripod and pass with pressure","Loose grip|Hips too high|No pressure|Opponent re-guarding","GP_002|GP_003|GP_005","Recovering guard|Leg pummeling|Frame escape"
GP_002,Over-Under Pass,Bernardo Faria Pass,Passagem Por Cima Por Baixo,pass,pressure,white,both,all_belts,"Classic pressure pass pinning one leg while underhooked the other","Pin one leg to mat|Underhook other leg|Switch head toward underhooked leg|Drive forward at angle","Not pinning|Head wrong side|No pressure|Opponent escaping","GP_001|GP_003|GP_005","Hip escape|Recovering guard|Triangle setup"
GP_003,Stack Pass,Double Under Pass,Passagem Empilhando,pass,pressure,white,both,all_belts,"Pressure pass swimming both arms inside legs and stacking opponent on shoulders","Swim both arms inside legs|Grip near belt or hips|Stack hips over shoulders|Sprawl and pass at angle","Submitted from bottom|Not controlling hips|No stack|Loose arms","GP_002|GP_001|GP_005","Triangle|Omoplata|Recovering guard"
GP_004,Smash Pass,Folding Pass,Passagem Esmagando,pass,pressure,white,both,all_belts,"Heavy pressure pass folding opponent's legs together and driving through","From over-under or split legs|Fold legs together|Drive knees toward chest|Sprawl to pin both legs","Insufficient pressure|Not folding|Opponent opening|Slow","GP_002|GP_003|GP_001","Creating space|Leg pummel|Guard recovery"
GP_005,Knee Slice Pass,Knee Cut,Passagem Corte de Joelho,pass,knee_slice,white,both,all_belts,"Highest percentage pass slicing knee across thigh to pass guard","Collar + pants grip or collar tie|Slice knee DOWN toward mat|Control opposite shoulder|Prevent underhook","Slicing backward|No shoulder control|Giving underhook|Slow cut","GP_006|GP_007|GP_001","Half guard recovery|Underhook|RDLR hook"
GP_006,Backstep Knee Slice,Reverse Knee Cut,,pass,knee_slice,blue,both,all_belts,"Knee slice variation backstopping when standard is blocked by RDLR","When RDLR blocks knee slice|Backstep around the hook|Continue pass from new angle|Complete to side control","Poor timing|Losing position|Caught in RDLR|Slow backstep","GP_005|GP_007|GP_014","Maintaining RDLR|Leg entanglement|Sweep"
GP_007,Knee Slice to Mount,Slice Through,,pass,knee_slice,blue,both,all_belts,"Continuing knee slice momentum straight to mount rather than side control","From knee slice position|Continue momentum through|Slide to mount|Establish mount control","Stopping at side|Losing control|Too slow|Opponent escaping","GP_005|MT_001|GP_006","Half guard|Guard recovery|Bridging"
GP_008,Toreando Pass,Bullfighter Pass,Passagem do Toureiro,pass,speed,white,both,all_belts,"Speed pass gripping legs and circling around like a bullfighter","Grip opponent's ankles or knees|Pin legs to floor|Circle around in bullfighter motion|Drop shoulder to complete","Slow|Loose grip|Opponent recovering|Not dropping shoulder","GP_009|GP_010|GP_011","Guard retention|Hip escape|Leg pummel"
GP_009,Leg Drag Pass,Mendes Pass,Passagem Arrastando Perna,pass,speed,blue,both,all_belts,"Speed pass dragging opponent's leg across your own to pin and pass","Control foot and knee of other leg|Drag leg across your hip|Sit to trap leg|Complete to side control","Slow drag|Loose control|Not sitting|Opponent recovering","GP_008|GP_010|GP_005","Counter drag|Guard retention|Back take"
GP_010,X-Pass,Cross Pass,Passagem em X,pass,speed,white,both,all_belts,"Speed pass from headquarters crossing arms while kicking leg and stepping around","From headquarters one in one out|Push knee down|Kick near leg up|Arms cross in X pattern land KOB","Poor timing|Not kicking|Slow|Opponent countering","GP_008|GP_009|GP_005","Guard retention|Sweep|Leg entanglement"
GP_011,Long Step Pass,Kick Through Pass,,pass,speed,blue,both,all_belts,"Speed pass from knee slice kicking trapped leg UP then stepping away","From knee slice position|Kick trapped leg UP vertical|Long step away from legs|Land in reverse scarf hold","Not kicking up first|Slow step|Caught in half|Opponent following","GP_005|GP_010|GP_008","Following legs|Half guard|RDLR"
GP_012,Cartwheel Pass,Spinning Pass,,pass,speed,purple,both,all_belts,"Athletic pass cartwheeling over seated guard to take back or pass","Against seated guard|Step outside leg|Cartwheel over controlling wrist|Land behind for back take","Slow|Opponent reacting|Missing control|Poor landing","GP_008|BC_001|GP_009","Pulling down|Leg attack|Guard recovery"
GP_013,Passing DLR,De La Riva Pass,Passagem DLR,pass,guard_specific,blue,both,all_belts,"Techniques for passing De La Riva guard breaking the hook first","Break DLR hook point knee out|Bump thigh back|Enter headquarters|Side smash or knee cut","Not breaking hook|Rushing|Swept|Poor control","GP_005|GP_010|OG_001","Maintaining DLR|Berimbolo|Sweep"
GP_014,Passing RDLR,Reverse DLR Pass,Passagem RDLR,pass,guard_specific,blue,both,all_belts,"Passing reverse De La Riva guard with pressure or speed variations","X-pass pressure variation|Or long step up first then away|Break hook with knee pressure|Complete pass","Caught in hook|Too slow|Swept|Leg entanglement","GP_010|GP_011|OG_005","Maintaining RDLR|Leg attack|Sweep"
GP_015,Passing Spider,Spider Guard Pass,Passagem Aranha,pass,guard_specific,blue,gi,all_belts,"Passing spider guard by breaking sleeve grips first priority","Break sleeve grips|Duck under extended leg|Or get double unders|Neutralize bicep control","Not breaking grips|Slow|Swept|Submitted","GP_003|GP_008|OG_009","Maintaining grips|Triangle|Sweep"
