technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
CG_001,Scissor Sweep,Knee Push Sweep,Tesoura,sweep,sweeps,white,both,all_belts,"Classic sweep using knee shield and sleeve control with scissoring leg motion to off-balance opponent","Establish knee shield across torso|Control same-side sleeve|Chop back leg while driving knee through|Maintain sleeve control throughout","Opening guard too early|Not controlling the sleeve|Insufficient hip movement|Chopping leg instead of scissoring","CG_002|CG_003|CG_004","Standing in guard|Posturing up|Base widening"
CG_002,Hip Bump Sweep,Sit-Up Sweep,Raspagem de Quadril,sweep,sweeps,white,both,all_belts,"Explosive sit-up sweep capitalizing on opponent's low posture or hands-on-mat position","Wait for opponent to post hands on mat|Sit up explosively with posting hand|Throw opposite arm over shoulder|Follow momentum to mount","Hesitating on the sit-up|Not controlling the arm|Attempting when opponent has good posture|Insufficient explosion","CG_001|CG_005|MT_001","Posting with elbow|Pulling back quickly|Crossfacing"
CG_003,Flower Sweep,Pendulum Sweep,Raspagem Flor,sweep,sweeps,white,both,all_belts,"High-amplitude sweep using pendulum leg motion and opponent's sleeve and pants control","Control sleeve and same-side pants at knee|Open guard and swing pendulum leg wide|Use momentum to sweep to mount|Keep grips tight throughout","Insufficient momentum on pendulum|Releasing grips too early|Not opening guard fully|Poor timing","CG_001|CG_002|CG_004","Base wide|Let go of grips|Stack pass attempt"
CG_004,Elevator Sweep,Hook Sweep,Raspagem Elevador,sweep,sweeps,white,both,all_belts,"Sweep used when opponent stands in closed guard by elevating with butterfly-style hook","When opponent stands, underhook one leg|Control wrist on same side|Elevate with hook while pulling wrist|Follow to top position","Not maintaining wrist control|Poor hook placement|Attempting too early|Not following to top","CG_001|CG_005|OG_020","Passing over leg|Disengaging quickly|Knee slice pass"
CG_005,Overhead Sweep,Balloon Sweep,Raspagem por Cima,sweep,sweeps,blue,both,all_belts,"Sweep that sends opponent overhead using feet on hips when they drive forward aggressively","Place feet on hips when opponent drives forward|Control sleeves or collar and sleeve|Pull opponent forward while extending legs|Roll back and over to mount","Feet slipping off hips|Insufficient pull on upper body|Poor timing with leg extension|Not committing to the roll","CG_004|CG_003|OG_020","Dropping weight|Circling around legs|Toreando pass"
CG_006,Star Sweep,Leg Over Sweep,,sweep,sweeps,blue,both,all_belts,"Sweep from closed guard where you kick leg over opponent's head while rolling laterally","Control opposite sleeve|Open guard and swing same-side leg over opponent's head|Roll laterally toward controlled arm|Follow through to top position","Poor sleeve control|Not opening guard fully|Insufficient hip turn|Telegraphing the sweep","CG_003|CG_007|CG_005","Posturing immediately|Pulling arm free|Stacking"
CG_007,Bump to Back Take,Technical Stand Sweep,,sweep,sweeps,blue,both,all_belts,"Using hip bump motion to create angle for back take when opponent defends by posting","Start hip bump sweep|When opponent posts to defend, establish underhook|Technical stand while maintaining hook|Take back or come to top","Poor timing on transition|Losing underhook|Not following opponent|Hesitating mid-transition","CG_002|CG_014|BC_001","Whizzer defense|Turning to face|Standing quickly"
CG_008,Triangle Choke,,Sankaku-jime / Triângulo,submission,submissions,white,both,all_belts,"Classic closed guard submission trapping opponent's head and arm between legs in figure-four configuration","Control posture with collar or head|Shoot hips up and lock triangle|Cut angle toward trapped arm side|Squeeze knees together while pulling head down","Not cutting the angle|Legs too loose|Not breaking posture first|Attacking from flat position","CG_009|CG_011|CG_012","Posturing up|Stacking|Arm extraction"
CG_009,Armbar from Guard,Cross Armbar,Juji-gatame / Chave de Braço,submission,submissions,white,both,all_belts,"Fundamental armbar isolating opponent's arm while controlling with hips and legs across body","Control wrist and elbow|Pivot hips perpendicular to opponent|Swing leg over face while holding arm tight|Pinch knees and extend hips for finish","Not controlling the arm throughout|Hips too far from armpit|Legs not tight|Extending before positioning","CG_008|CG_010|CG_011","Stacking pass|Pulling arm out|Hitchhiker escape"
CG_010,Kimura from Guard,,Gyaku Ude-garami,submission,submissions,white,both,all_belts,"Figure-four shoulder lock attacking opponent's bent arm from closed guard position","Break posture and control wrist|Sit up and establish figure-four grip|Fall to hip while maintaining control|Rotate arm behind back","Not sitting up enough|Loose grip|Allowing opponent to posture|Not controlling elbow","CG_009|CG_011|CG_013","Straightening arm|Pulling arm free|Stacking"
CG_011,Omoplata,,Ashi-garami (shoulder),submission,submissions,blue,both,all_belts,"Shoulder lock using leg over opponent's shoulder with forward pressure while seated","Control opposite wrist|Swing leg over shoulder|Sit up and secure position|Apply forward pressure on shoulder","Not sitting up|Allowing opponent to roll|Poor wrist control|Not securing position before pressure","CG_008|CG_009|CG_012","Roll through|Pulling arm out|Posturing up"
CG_012,Cross Collar Choke,Cross Choke,Estrangulamento Cruzado / Jūji-jime,submission,submissions,white,gi,all_belts,"Classic gi choke using deep cross grips on opponent's collar to create blood choke","Establish deep grip with thumb inside collar|Second grip crosses over first arm|Pull elbows tight to body|Squeeze forearms together","Grips not deep enough|Elbows flaring out|Not breaking posture first|Hands too close together","CG_008|CG_018|MT_004","Stripping grips|Posturing up|Protecting neck"
CG_013,Guillotine from Guard,Front Headlock Choke,Guilhotina,submission,submissions,white,both,all_belts,"Front headlock choke applied when opponent dives head first into closed guard","Wrap arm around neck when head drops|Secure grip (chin-strap or blade)|Close guard high on back|Crunch down while extending hips","Head not deep enough in armpit|Hips not elevated|Not closing guard|Loose grip","CG_010|CG_008|SC_008","Posturing up|Pulling head out|Passing to side"
CG_014,Back Take from Guard,Hip Escape to Back,,transition,transitions,blue,both,all_belts,"Transition from closed guard to back control when opponent defends sweeps","When opponent bases wide, swim for underhook|Hip escape while maintaining closed guard|Climb to opponent's back using hooks|Establish seatbelt control","Losing hook control|Not maintaining connection|Poor timing|Telegraphing movement","CG_007|BC_001|BC_002","Turning to face|Stripping hooks|Standing up"
CG_015,Posture Break,Collar Pull Down,Quebra de Postura,control,control,white,both,all_belts,"Fundamental closed guard technique to break opponent's upright posture before attacking","Grip behind head or on collar|Pull elbows toward mat|Climb legs high on opponent's back|Use core to maintain broken posture","Only pulling with arms|Letting legs drop|Not maintaining pressure|Releasing grips too early","CG_008|CG_009|CG_012","Strong posture|Hands on hips|Standing up"
CG_016,Sleeve Control,Wrist Control,Pegada de Manga,control,control,white,both,all_belts,"Essential grip controlling opponent's wrist/sleeve to enable sweeps and submissions","Grip at wrist or sleeve cuff|Control with pistol grip|Pin to hip or mat|Maintain throughout technique chains","Loose grip|Allowing posture|Single grip only|Not pinning effectively","CG_001|CG_003|CG_008","Grip breaking|Posturing|Hand fighting"
CG_017,Hip Clamp,Leg Climb,Escalada de Pernas,control,control,white,both,all_belts,"Active guard control climbing legs high on opponent's back to break posture and set up attacks","Uncross ankles and climb legs higher|Squeeze knees against ribs|Pull with heels on lower back|Combine with collar control","Feet crossed too low|Loose leg squeeze|Not using heels actively|Passive guard","CG_015|CG_008|CG_012","Standing up|Wedging elbows in|Posturing"
CG_018,Ezekiel Choke from Guard,,Sode-guruma-jime,submission,submissions,blue,gi,all_belts,"Sneaky choke from closed guard threading arm behind head and through sleeve to strangle","Secure arm behind opponent's head|Thread hand through own sleeve|Place blade of forearm across throat|Close guard tight and squeeze","Forearm not on throat|Loose guard position|Telegraphing the attack|Insufficient squeeze","CG_012|MT_005|SC_007","Posturing up|Chin down defense|Stripping sleeve grip"
CG_019,Arm Drag from Guard,Collar Drag,,transition,transitions,blue,both,all_belts,"Quick transition using arm drag to expose opponent's back or off-balance for sweeps","Control at wrist and tricep|Pull arm across your body|Sit up while dragging|Take back or sweep","Not sitting up|Loose grip on tricep|Slow execution|Not following through","CG_014|CG_007|BC_001","Posting far arm|Quick recovery|Squaring up"
CG_020,Bump to Triangle,Hip Bump Triangle Entry,,entry,submissions,blue,both,all_belts,"Combination attack using hip bump to force reaction that opens triangle choke","Begin hip bump sweep|When opponent posts, redirect to triangle|Lock triangle on posting arm|Finish triangle choke","Poor transition timing|Not controlling arm|Triangle too loose|Flat positioning","CG_002|CG_008|CG_009","Quick arm retraction|Stacking|Strong base"
