technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
OG_001,De La Riva Hook,DLR Guard,Guarda De La Riva,control,dlr,blue,both,all_belts,"Open guard with outside leg hook behind opponent's lead leg knee created by Ricardo De La Riva","Hook outside leg behind opponent's lead knee|Control same-side ankle with hand|Opposite hand controls collar or sleeve|Maintain hip angle toward hooked leg","Weak hook|No ankle control|Flat hips|Poor sleeve grip","OG_002|OG_003|OG_004","Breaking the hook|Knee slice|Backstep"
OG_002,Basic DLR Sweep,De La Riva Sweep,Raspagem DLR,sweep,dlr,blue,both,all_belts,"Fundamental DLR sweep extending hooked leg while controlling ankle and sleeve","Establish DLR hook with sleeve and ankle control|Extend hooked leg to off-balance|Pull sleeve and push ankle|Follow to top position","Poor controls|Insufficient extension|Not following|Weak hook","OG_001|OG_003|OG_005","Strong base|Posturing|Breaking grip"
OG_003,Berimbolo,Spin Under Back Take,Berimbolo,transition,dlr,purple,both,all_belts,"Inverting under opponent from DLR to spin to their back popularized by Mendes Brothers","From DLR, grip belt or pants|Invert underneath opponent's hips|Spin to take their back|Establish seatbelt and hooks","Not inverting enough|Losing grips|Slow rotation|Poor timing","OG_001|OG_002|BC_001","Not allowing inversion|Basing wide|Counter berimbolo"
OG_004,DLR to X-Guard,Guard Transition,,transition,dlr,blue,both,all_belts,"Transitioning from DLR to X-guard for different attack options","From DLR when opponent steps back|Insert second leg behind far knee|Establish X-guard configuration|Attack with X-guard sweeps","Slow transition|Losing DLR hook|Poor second leg placement|Exposed to pass","OG_001|OG_022|OG_023","Passing quickly|Knee slice|Disengaging"
OG_005,Reverse De La Riva Guard,RDLR,Guarda De La Riva Reversa,control,rdlr,blue,both,all_belts,"Inside leg hook around opponent's leg from opposite side of DLR excellent against knee slice","Hook inside leg around opponent's lead leg|Control at ankle or pants|Free foot on hip or pushing|Maintain active hips","Flat hips|Weak hook|No upper body control|Passive position","OG_006|OG_007|OG_008","Long step|Backstep pass|Removing hook"
OG_006,RDLR Sweep,Kiss of the Dragon Entry,,sweep,rdlr,purple,both,all_belts,"Sweep from RDLR spinning under to take back or come to top","From RDLR, secure grips|Spin under opponent toward hooked leg|Come out to back or top|Establish control","Not spinning deep enough|Losing hook|Poor grips|Slow execution","OG_005|OG_003|BC_001","Basing out|Spinning with opponent|Knee slice"
OG_007,Kiss of the Dragon,RDLR Back Take,Beijo do Dragão,transition,rdlr,purple,both,all_belts,"Spinning under from RDLR to take opponent's back named by Paulo Miyao","From RDLR, grip far collar or pants|Spin underneath opponent completely|Emerge behind them for back control|Establish seatbelt","Insufficient spin|Losing grips|Not emerging behind|Getting stuck","OG_005|OG_006|BC_001","Sprawling|Basing wide|Defending rotation"
OG_008,RDLR to Leg Entanglement,Leg Lock Entry,,entry,rdlr,purple,both,all_belts,"Using RDLR to enter leg entanglement positions for leg attacks","From RDLR, control ankle|Sit through toward leg|Enter SLX or outside ashi|Attack with leg submissions","Losing control|Poor entry angle|Not securing position|Exposed to pass","OG_005|LE_001|LE_002","Extracting leg|Passing over|Counter attack"
OG_009,Spider Guard,Bicep Control Guard,Guarda Aranha,control,spider,blue,gi,all_belts,"Gi guard controlling both sleeves with feet on biceps creating maximum distance","Control both sleeves at cuff|Place feet on biceps|Extend legs to create distance|Move hips constantly","Loose grips|Feet slipping|Flat hips|Passive playing","OG_010|OG_011|OG_013","Stripping grips|Duck under|Double unders"
OG_010,Spider Guard Sweep,Overhead Spider Sweep,,sweep,spider,blue,gi,all_belts,"Sweep from spider guard sending opponent overhead or to the side","From spider guard, control both sleeves|Load opponent onto feet|Extend and sweep overhead or lateral|Follow to top","Feet slipping|Poor sleeve control|Insufficient loading|Not following","OG_009|OG_011|CG_005","Stripping grips|Base wide|Pressure forward"
OG_011,Spider Triangle,Spider Guard Triangle Entry,,submission,spider,blue,gi,all_belts,"Setting up triangle choke from spider guard by pulling one arm while extending leg","From spider, pull one sleeve across body|Shoot hips up for triangle|Lock triangle configuration|Finish with angle and squeeze","Arm not across|Poor timing|Loose triangle|Flat position","OG_009|CG_008|OG_012","Arm extraction|Posturing|Stacking"
OG_012,Lasso Guard,Lasso Spider,Guarda Laço,control,lasso,blue,gi,all_belts,"Spider guard variation wrapping leg around opponent's arm at bicep for strong control","Wrap leg around opponent's arm from outside|Control sleeve on same side|Other leg can push hip or spider|Maintain strong connection","Loose wrap|No sleeve control|Flat position|Weak lasso","OG_013|OG_014|OG_009","Stripping lasso|Ducking under|Passing over"
OG_013,Lasso Sweep,Lasso Guard Sweep,,sweep,lasso,blue,gi,all_belts,"Sweep from lasso guard using wrapped leg and sleeve control to off-balance","From lasso, control sleeve tightly|Use lasso leg to manipulate opponent|Sweep toward lassoed arm side|Follow to top","Loose lasso|Poor timing|Not following|Weak sleeve grip","OG_012|OG_014|OG_010","Breaking lasso|Posting hand|Pressure"
OG_014,Lasso Omoplata,Lasso Guard Omoplata Entry,,submission,lasso,blue,gi,all_belts,"Transitioning from lasso guard to omoplata shoulder lock","From lasso, release wrap over shoulder|Sit up securing arm|Apply forward pressure|Finish omoplata","Not releasing cleanly|Poor transition|Opponent rolling|Loose control","OG_012|CG_011|OG_013","Rolling through|Pulling arm|Posturing"
OG_015,Collar Sleeve Guard,Collar and Sleeve,Guarda Colarinho e Manga,control,collar_sleeve,blue,gi,all_belts,"Open guard controlling collar and sleeve with active foot on hip or bicep","Control collar with one hand|Control sleeve with other|Foot on hip or bicep|Constant hip movement","Loose grips|Passive position|Flat hips|No foot activity","OG_016|OG_017|OG_009","Stripping grips|Pressure forward|Knee slice"
OG_016,Collar Sleeve Sweep,Overhead Sweep,,sweep,collar_sleeve,blue,gi,all_belts,"Sweep from collar sleeve guard sending opponent overhead or to side","From collar sleeve, load on foot|Pull collar and sleeve|Extend leg overhead|Follow to top","Poor timing|Weak grips|Not loading opponent|Foot slipping","OG_015|OG_010|CG_005","Dropping weight|Breaking grips|Passing quickly"
OG_017,Collar Sleeve Armbar,Arm Attack Entry,,submission,collar_sleeve,blue,gi,all_belts,"Setting up armbar from collar sleeve guard when arm is extended","From collar sleeve, control arm fully|Swing leg over face|Secure armbar position|Finish with hip extension","Arm not controlled|Slow transition|Loose legs|Poor angle","OG_015|CG_009|OG_011","Arm retraction|Stacking|Pulling out"
OG_018,Collar Sleeve Back Take,Back Entry,,transition,collar_sleeve,purple,gi,all_belts,"Using collar sleeve to spin under and take the back","From collar sleeve, arm drag motion|Spin under while maintaining grips|Emerge behind opponent|Establish seatbelt","Losing grips|Not spinning deep|Slow transition|Poor timing","OG_015|BC_001|CG_019","Squaring up|Heavy base|Counter spin"
OG_019,Butterfly Guard,Sitting Guard,Guarda Borboleta,control,butterfly,white,both,all_belts,"Sitting guard with both feet hooked inside opponent's thighs popularized by Marcelo Garcia","Sit facing opponent with feet inside thighs|Control with underhook and overhook|Maintain upright posture|Ready to sweep either direction","Flat on back|Hooks too shallow|No upper control|Passive","OG_020|OG_021|OG_028","Flattening|Knee slice|Removing hooks"
OG_020,Butterfly Sweep,Basic Hook Sweep,Raspagem Borboleta,sweep,butterfly,white,both,all_belts,"Fundamental butterfly sweep using hooks and upper body control to elevate and sweep","Control with underhook and collar/overhook|Lean toward overhook side|Elevate with hook on underhook side|Follow to top","Insufficient lean|Weak hook|No upper control|Not following","OG_019|OG_021|OG_028","Heavy pressure|Flattening|Removing hooks"
OG_021,Arm Drag to Back,Butterfly Arm Drag,Arrastar o Braço,transition,butterfly,blue,both,all_belts,"Using arm drag from butterfly guard to take opponent's back","From butterfly, grip wrist and tricep|Drag arm across your body|Get behind opponent quickly|Establish back control","Not clearing arm|Slow movement|Losing hooks|Not following","OG_019|BC_001|CG_019","Strong posture|Arm recovery|Squaring up"
OG_022,X-Guard,Leg X Position,Guarda X,control,x_guard,blue,both,all_belts,"Open guard with one leg behind opponent's knee and other pushing hip isolating their leg","One foot behind opponent's knee (inside)|Other foot pushing on far hip|Control ankle with hands|Maintain X configuration","Poor foot placement|No ankle control|Flat position|Weak X","OG_023|OG_024|OG_025","Stepping over|Removing feet|Passing around"
OG_023,X-Guard Technical Standup Sweep,Standing Sweep,,sweep,x_guard,blue,both,all_belts,"Classic X-guard sweep standing up while controlling opponent's leg","From X-guard, elevate opponent|Technical stand while holding ankle|Push hip foot to knock down|Come to top position","Not standing up|Losing ankle|Poor balance|Slow execution","OG_022|OG_024|OG_025","Posting foot down|Grabbing head|Jumping over"
OG_024,X-Guard Dummy Sweep,X Sweep,,sweep,x_guard,blue,both,all_belts,"Sweep from X-guard by extending both legs while controlling ankle to dump opponent","From X-guard, control ankle tightly|Extend both legs simultaneously|Direct opponent's fall to side|Follow to top","Weak ankle grip|Poor timing|Not following|Losing X position","OG_022|OG_023|OG_025","Basing wide|Jumping over|Removing feet"
OG_025,Single Leg X Guard,SLX|Ashi Garami,Ashi Garami,control,slx,blue,both,all_belts,"Open guard isolating single leg with inside hook and hip push foundation for leg locks","Inside foot hooks behind knee|Outside foot pushes hip|Hips tight to opponent's leg|Control at ankle","Loose hips|Poor hook|No hip push|Ankle not controlled","LE_001|LE_002|OG_022","Stepping over|Freeing leg|Passing quickly"
OG_026,SLX to Back Take,Ashi Garami Back Take,,transition,slx,purple,both,all_belts,"Transitioning from SLX to take opponent's back when they turn away","From SLX when opponent turns|Climb up their back|Insert hooks|Establish seatbelt control","Losing leg control|Not following|Poor timing|Slow transition","OG_025|BC_001|LE_001","Turning to face|Heavy base|Attacking leg"
OG_027,SLX Sweep,Single Leg X Sweep,,sweep,slx,blue,both,all_belts,"Sweep from SLX by elevating and off-balancing opponent","From SLX, control ankle|Elevate with hooks|Push hip while controlling leg|Follow to top or leg lock","Weak control|Poor elevation|Not following|Losing position","OG_025|OG_022|LE_001","Heavy base|Stepping over|Disengaging"
OG_028,Butterfly Elevator,Hook Elevation Sweep,,sweep,butterfly,blue,both,all_belts,"Variation of butterfly sweep emphasizing the elevation with hook under opponent","From butterfly, secure underhook|Place hook deep under opponent|Elevate dramatically while sweeping|Follow momentum to top","Shallow hook|No underhook|Poor timing|Not following","OG_019|OG_020|OG_021","Flattening|Heavy pressure|Base wide"
OG_029,50/50 Guard,Fifty Fifty,Guarda 50/50,control,50_50,purple,both,all_belts,"Equal leg entanglement where both fighters have symmetrical position on each other's leg","Both fighters have leg triangle|Hips facing each other|Control at ankle|Position is symmetrical","Loose triangle|Poor hip position|No ankle control|Passive position","OG_030|LE_005|LE_006","Extracting leg|Inverting out|Aggressive passing"
