technique_id,technique_name,alternate_names,portuguese_japanese_name,type,subcategory,belt_level,gi_nogi,ibjjf_legal,description,key_points,common_mistakes,related_techniques,counters
TT_001,Turtle Position,Defensive Shell,Tartaruga,control,defending,white,both,all_belts,"Defensive position on hands and knees protecting neck and staying tight","Hands and knees position|Chin tucked protecting neck|Elbows tight to body|Ready to escape or defend","Neck exposed|Loose elbows|Too high|Not moving","TT_002|TT_003|TT_005","Back take|Chokes|Turning over"
TT_002,Sit-Out Escape,Hip Escape from Turtle,,escape,defending,white,both,all_belts,"Escaping turtle by posting hands and swinging leg through to face opponent","Post hands on mat|Swing far leg through|Circle to face opponent|Recover guard or stand","Slow execution|Leg caught|Poor timing|Head exposed","TT_001|TT_003|TT_006","Following|Front headlock|Catching leg"
TT_003,Granby Roll,Shoulder Roll,Rolamento de Ombro,escape,defending,blue,both,all_belts,"Rolling escape from turtle using shoulder-to-shoulder motion to face opponent","Roll shoulder-to-shoulder NOT over neck|Drive hips toward opponent|Come to guard|Maintain awareness","Rolling over neck|Slow roll|Wrong direction|Exposed","TT_001|TT_002|OG_041","Following roll|Maintaining hooks|Front headlock"
TT_004,Clock Choke,Relógio Choke,Relógio,submission,attacking,blue,gi,all_belts,"Gi choke from turtle walking around opponent's head like clock hands","Far arm grips far collar|Walk around toward trapped arm|Sit hip in front of shoulder|Squeeze and walk more","Wrong collar|Not walking|Hip wrong place|Loose grip","TT_001|TT_009|BC_007","Defending collar|Sitting through|Standing up"
TT_005,Stand Up in Base,Wrestling Stand,Levantamento em Base,escape,defending,white,both,all_belts,"Technical standup from turtle position to return to neutral standing","Protect neck with hands|Step one foot up|Drive off foot to stand|Face opponent immediately","Neck exposed|Slow|Poor balance|Not facing opponent","TT_001|CG_030|CL_001","Snap down|Maintaining grip|Back take"
TT_006,Peterson Roll,Wrestling Roll,Rolamento Peterson,escape,defending,purple,both,all_belts,"Wrestling escape trapping opponent's arm and rolling to take back or escape","Trap far arm|Roll toward trapped arm|Take back or escape|Maintain control throughout","Not trapping arm|Wrong roll direction|Slow|Losing control","TT_001|TT_003|BC_001","Defending arm|Following roll|Maintaining position"
TT_007,Forward Roll Escape,Somersault Escape,,escape,defending,blue,both,all_belts,"Rolling forward to escape turtle and recover guard","Tuck chin|Roll forward|Come to guard|Face opponent immediately","Neck exposed during roll|Slow|Poor direction|Not recovering guard","TT_001|TT_003|OG_019","Following|Maintaining hooks|Attacking during roll"
TT_008,Chair Sit Back Take,Seated Back Take,,transition,attacking,blue,both,all_belts,"Taking back from turtle by sitting to side with seatbelt control","Secure seatbelt grip|Sit to side (chair sit)|Pull opponent into lap|Insert hooks","Sitting wrong way|Losing seatbelt|No hooks|Poor timing","TT_001|BC_001|BC_012","Defending sit|Basing|Turning toward"
TT_009,Crucifix Position,T-Position,Crucifixo,control,attacking,blue,both,all_belts,"Trapping one arm with legs and other with arms forming T shape","One arm trapped with legs|Other arm controlled with arms|Perpendicular T position|Attack with chokes","Arms not trapped|Poor position|Loose control|Opponent escaping","TT_004|TT_010|BC_017","Keeping arms in|Defending legs|Rolling"
TT_010,Twister,Spinal Lock,Twister,submission,attacking,purple,nogi,illegal,"Eddie Bravo spinal lock from truck position rotating head opposite direction","From truck position|Control at neck|Rotate head opposite of hips|Spinal torque finish","Wrong position|Not controlling head|Insufficient rotation|Illegal in IBJJF","BC_018|TT_009|HG_022","Defending truck|Escaping legs|Preventing rotation"
